date,item_name,current_stock,consumed,expired,expiring_soon,stock_value
2026-02-28,Syringes,2041,146,0,0,721286.03
2026-02-28,Bandages,3955,114,0,653,30199.86
2026-02-28,O2 Cylinders,2298,100,0,0,917367.68
2026-03-01,Paracetamol,4133,285,0,0,1814351.8
2026-03-01,Amoxicillin,1894,91,0,0,273497.25
2026-03-01,Insulin,662,28,0,0,310826.72
2026-03-01,Antibiotics,1299,23,0,0,76798.49
2026-03-01,IV Fluids,413,16,0,0,96622.04
2026-03-01,Syringes,4022,274,0,0,1383093.45
2026-03-01,Bandages,1724,103,0,0,565131.82
2026-03-01,O2 Cylinders,598,8,44,0,279658.93
2026-03-02,Paracetamol,2447,83,0,0,605300.06
2026-03-02,Amoxicillin,3932,365,0,0,1242238.26
2026-03-02,Insulin,574,52,0,0,220553.54
2026-03-02,Antibiotics,1123,95,0,0,241645.08
2026-03-02,IV Fluids,2677,66,0,0,747604.65
2026-03-02,Syringes,3514,120,0,0,216787.25
2026-03-02,Bandages,2647,82,0,0,1082414.19
2026-03-02,O2 Cylinders,997,41,0,0,139345.04
2026-03-03,Paracetamol,2406,100,0,0,1058961.34
2026-03-03,Amoxicillin,3128,265,0,0,111863.78
2026-03-03,Insulin,3649,327,0,0,614331.46
2026-03-03,Antibiotics,2160,39,0,0,617217.17
2026-03-03,IV Fluids,1774,118,0,0,17188.25
2026-03-03,Syringes,2817,188,0,0,975937.48
2026-03-03,Bandages,630,12,0,0,110962.12
2026-03-03,O2 Cylinders,4618,99,0,0,1456064.74
2026-03-04,Paracetamol,4230,171,0,0,209071.29
2026-03-04,Amoxicillin,1041,55,0,0,496255.07
2026-03-04,Insulin,1310,26,0,0,598348.96
2026-03-04,Antibiotics,4614,222,0,0,1648130.37
2026-03-04,IV Fluids,2101,150,0,0,854589.5
2026-03-04,Syringes,1210,61,0,0,23483.03
2026-03-04,Bandages,1666,33,0,0,208437.57
2026-03-04,O2 Cylinders,4458,127,0,465,410733.79
2026-03-05,Paracetamol,4238,55,0,0,98579.71
2026-03-05,Amoxicillin,3763,213,0,0,294215.24
2026-03-05,Insulin,853,34,0,0,401335.82
2026-03-05,Antibiotics,1549,16,0,0,736837.89
2026-03-05,IV Fluids,2807,224,0,0,740573.08
2026-03-05,Syringes,199,11,0,0,92481.78
2026-03-05,Bandages,892,60,0,0,16880.04
2026-03-05,O2 Cylinders,4877,153,0,0,86317.54
2026-03-06,Paracetamol,3244,66,0,0,100613.46
2026-03-06,Amoxicillin,3714,88,0,0,1351487.05
2026-03-06,Insulin,616,44,0,0,98921.39
2026-03-06,Antibiotics,3758,218,0,0,1180795.08
2026-03-06,IV Fluids,2033,128,0,0,640984.22
2026-03-06,Syringes,4100,401,0,0,1909515.32
2026-03-06,Bandages,4942,275,0,0,2408576.24
2026-03-06,O2 Cylinders,4090,84,0,0,1310225.11
2026-03-07,Paracetamol,4989,217,0,0,1834784.95
2026-03-07,Amoxicillin,126,7,0,0,16551.86
2026-03-07,Insulin,1104,55,0,0,526116.52
2026-03-07,Antibiotics,687,18,0,0,69977.92
2026-03-07,IV Fluids,1258,64,0,0,49443.86
2026-03-07,Syringes,3821,46,0,0,1226125.46
2026-03-07,Bandages,132,12,0,0,4016.14
2026-03-07,O2 Cylinders,741,63,0,0,6003.7
2026-03-08,Paracetamol,1882,179,0,0,609398.98
2026-03-08,Amoxicillin,144,11,0,0,11474.9
2026-03-08,Insulin,4590,172,0,0,779316.36
2026-03-08,Antibiotics,4262,210,0,0,2096461.27
2026-03-08,IV Fluids,3657,121,0,0,1523460.09
2026-03-08,Syringes,2241,63,0,172,1091647.33
2026-03-08,Bandages,524,32,31,0,69396.82
2026-03-08,O2 Cylinders,1460,66,0,0,594031.02
2026-03-09,Paracetamol,3748,267,131,0,1557893.21
2026-03-09,Amoxicillin,1788,75,0,0,103703.47
2026-03-09,Insulin,720,25,0,77,337406.75
2026-03-09,Antibiotics,2350,23,0,0,756340.96
2026-03-09,IV Fluids,851,62,0,0,184401.18
2026-03-09,Syringes,3784,230,0,152,1331779.03
2026-03-09,Bandages,719,16,0,0,151945.93
2026-03-09,O2 Cylinders,4971,287,0,0,1534501.89
2026-03-10,Paracetamol,2835,33,0,0,561429.11
2026-03-10,Amoxicillin,3645,354,0,0,291381.98
2026-03-10,Insulin,288,8,0,0,45225.45
2026-03-10,Antibiotics,4623,118,0,0,910282.08
2026-03-10,IV Fluids,111,3,0,0,4496.14
2026-03-10,Syringes,1179,68,91,0,78339.23
2026-03-10,Bandages,144,14,0,0,4509.82
2026-03-10,O2 Cylinders,2226,84,0,199,483381.97
2026-03-11,Paracetamol,4443,147,0,0,782227.75
2026-03-11,Amoxicillin,1200,76,0,0,20326.96
2026-03-11,Insulin,2120,55,0,21,360842.8
2026-03-11,Antibiotics,4992,119,324,0,917386.19
2026-03-11,IV Fluids,2990,219,0,0,1476626.92
2026-03-11,Syringes,3400,286,0,69,1101509.37
2026-03-11,Bandages,482,11,0,0,199607.91
2026-03-11,O2 Cylinders,3836,110,290,0,640690.07
2026-03-12,Paracetamol,2148,159,0,0,397204.95
2026-03-12,Amoxicillin,908,16,0,0,15186.99
2026-03-12,Insulin,2716,27,0,325,1099076.92
2026-03-12,Antibiotics,3153,99,0,0,1332675.23
2026-03-12,IV Fluids,671,51,0,101,318928.9
2026-03-12,Syringes,2378,54,0,0,875698.13
2026-03-12,Bandages,4066,57,0,0,290584.21
2026-03-12,O2 Cylinders,3807,169,0,0,1672453.82
2026-03-13,Paracetamol,897,71,0,0,256686.11
2026-03-13,Amoxicillin,4481,438,0,0,1611105.58
2026-03-13,Insulin,1172,99,0,0,569840.47
2026-03-13,Antibiotics,187,17,0,0,71434.09
2026-03-13,IV Fluids,4589,184,0,0,43367.59
2026-03-13,Syringes,4275,391,0,0,1124097.17
2026-03-13,Bandages,231,14,0,0,112001.48
2026-03-13,O2 Cylinders,1312,55,14,0,562091.65
2026-03-14,Paracetamol,3552,121,0,0,1173376.05
2026-03-14,Amoxicillin,2227,127,0,0,1066910.83
2026-03-14,Insulin,4277,309,0,0,1071565.53
2026-03-14,Antibiotics,4604,233,0,0,766053.03
2026-03-14,IV Fluids,3083,176,0,112,315492.71
2026-03-14,Syringes,3881,210,0,0,772700.3
2026-03-14,Bandages,962,40,0,0,165033.28
2026-03-14,O2 Cylinders,3363,266,0,0,30350.58
2026-03-15,Paracetamol,4990,334,0,0,1775234.29
2026-03-15,Amoxicillin,1211,93,0,0,374524.86
2026-03-15,Insulin,471,25,0,0,70742.73
2026-03-15,Antibiotics,3790,70,0,0,841837.76
2026-03-15,IV Fluids,722,49,0,0,205745.26
2026-03-15,Syringes,47,3,0,0,9442.64
2026-03-15,Bandages,2462,202,0,0,45632.05
2026-03-15,O2 Cylinders,247,18,0,0,23234.24
2026-03-16,Paracetamol,3853,177,0,0,406603.83
2026-03-16,Amoxicillin,4863,174,411,0,127434.38
2026-03-16,Insulin,1701,26,0,330,560141.14
2026-03-16,Antibiotics,4854,60,0,129,2199232.36
2026-03-16,IV Fluids,1353,34,0,0,276950.71
2026-03-16,Syringes,2733,221,0,0,1060406.33
2026-03-16,Bandages,1792,70,0,0,146855.21
2026-03-16,O2 Cylinders,3304,174,0,0,907447.47
2026-03-17,Paracetamol,648,18,0,0,36389.42
2026-03-17,Amoxicillin,1476,30,0,0,486978.57
2026-03-17,Insulin,3045,121,0,507,371668.76
2026-03-17,Antibiotics,4378,150,0,526,2085877.21
2026-03-17,IV Fluids,3665,223,0,0,230691.91
2026-03-17,Syringes,1017,23,0,4,100965.91
2026-03-17,Bandages,2502,166,0,0,431749.7
2026-03-17,O2 Cylinders,2255,69,0,151,378239.32
2026-03-18,Paracetamol,1264,73,0,0,627899.29
2026-03-18,Amoxicillin,2354,208,0,0,871227.62
2026-03-18,Insulin,4559,184,0,0,1067981.0
2026-03-18,Antibiotics,3773,325,0,0,1458788.63
2026-03-18,IV Fluids,318,17,0,0,117610.07
2026-03-18,Syringes,3316,215,0,0,1640215.46
2026-03-18,Bandages,4904,135,0,0,680367.35
2026-03-18,O2 Cylinders,3325,162,0,0,1122639.83
2026-03-19,Paracetamol,2551,76,0,0,222603.36
2026-03-19,Amoxicillin,695,30,0,0,131836.38
2026-03-19,Insulin,2927,66,0,0,1343833.27
2026-03-19,Antibiotics,2892,203,0,0,179303.91
2026-03-19,IV Fluids,1794,40,0,0,591823.96
2026-03-19,Syringes,1766,163,0,0,157597.85
2026-03-19,Bandages,3381,148,0,0,351550.97
2026-03-19,O2 Cylinders,2971,133,0,0,1188342.49
2026-03-20,Paracetamol,4783,163,0,0,1830451.72
2026-03-20,Amoxicillin,4924,60,0,0,2224788.87
2026-03-20,Insulin,4012,309,0,0,402983.1
2026-03-20,Antibiotics,3160,41,0,0,1543087.05
2026-03-20,IV Fluids,1003,32,0,0,59247.04
2026-03-20,Syringes,2597,224,0,244,737477.87
2026-03-20,Bandages,348,16,0,0,11011.31
2026-03-20,O2 Cylinders,804,65,0,0,80754.61
2026-03-21,Paracetamol,875,34,0,0,198554.01
2026-03-21,Amoxicillin,2649,141,0,0,902956.19
2026-03-21,Insulin,2405,138,0,0,827562.43
2026-03-21,Antibiotics,2105,106,0,0,50270.4
2026-03-21,IV Fluids,1362,36,0,0,435792.65
2026-03-21,Syringes,3786,244,0,0,113063.9
2026-03-21,Bandages,2725,130,0,0,605767.13
2026-03-21,O2 Cylinders,2547,175,176,44,127371.82
2026-03-22,Paracetamol,751,43,0,145,104991.5
2026-03-22,Amoxicillin,452,36,0,0,114691.24
2026-03-22,Insulin,1830,170,0,0,507624.0
2026-03-22,Antibiotics,3284,203,0,0,973580.26
2026-03-22,IV Fluids,4204,193,0,0,552640.14
2026-03-22,Syringes,3757,169,0,0,326691.13
2026-03-22,Bandages,2950,84,0,0,316332.44
2026-03-22,O2 Cylinders,388,10,0,0,118218.38
2026-03-23,Paracetamol,657,63,0,0,45469.53
2026-03-23,Amoxicillin,482,6,0,0,236075.58
2026-03-23,Insulin,1890,43,0,279,714835.98
2026-03-23,Antibiotics,1506,125,0,0,92646.69
2026-03-23,IV Fluids,4712,247,0,0,203842.09
2026-03-23,Syringes,3356,216,0,0,872598.54
2026-03-23,Bandages,1020,99,0,0,394921.77
2026-03-23,O2 Cylinders,1767,95,0,0,77890.14
2026-03-24,Paracetamol,2624,218,0,0,630587.1
2026-03-24,Amoxicillin,3148,145,0,0,1026308.77
2026-03-24,Insulin,475,35,0,0,151067.25
2026-03-24,Antibiotics,2004,111,0,0,50537.91
2026-03-24,IV Fluids,3210,295,0,0,497717.09
2026-03-24,Syringes,1577,136,0,0,483241.91
2026-03-24,Bandages,1640,76,0,0,449782.58
2026-03-24,O2 Cylinders,1856,66,0,0,246561.46
2026-03-25,Paracetamol,536,39,0,0,178565.63
2026-03-25,Amoxicillin,1106,68,0,0,355911.09
2026-03-25,Insulin,2943,156,0,0,271490.77
2026-03-25,Antibiotics,12,0,0,0,237.98
2026-03-25,IV Fluids,225,5,0,0,86435.68
2026-03-25,Syringes,3037,51,0,187,1115268.81
2026-03-25,Bandages,1909,82,109,0,392945.41
2026-03-25,O2 Cylinders,2358,42,0,0,393901.13
2026-03-26,Paracetamol,1506,88,0,0,172045.92
2026-03-26,Amoxicillin,4069,65,0,0,1373794.15
2026-03-26,Insulin,4506,419,0,0,121067.98
2026-03-26,Antibiotics,3389,133,0,0,648193.29
2026-03-26,IV Fluids,2694,50,0,0,1311722.51
2026-03-26,Syringes,4796,357,0,0,2332089.13
2026-03-26,Bandages,2741,146,0,0,1274480.6
2026-03-26,O2 Cylinders,4321,104,0,0,946619.01
2026-03-27,Paracetamol,4714,466,0,0,1635060.71
2026-03-27,Amoxicillin,1700,57,0,0,540176.53
2026-03-27,Insulin,4856,389,0,0,1008501.0
2026-03-27,Antibiotics,2389,88,0,0,1167099.21
2026-03-27,IV Fluids,4709,392,0,0,1067138.4
2026-03-27,Syringes,4695,311,420,0,375737.37
2026-03-27,Bandages,4977,387,0,0,1874159.78
2026-03-27,O2 Cylinders,3076,248,0,0,227376.41
2026-03-28,Paracetamol,3113,225,0,0,1190065.8
2026-03-28,Amoxicillin,1248,50,0,0,311432.03
2026-03-28,Insulin,3388,205,0,0,395569.92
2026-03-28,Antibiotics,4540,83,0,0,370349.96
2026-03-28,IV Fluids,866,33,0,0,158602.52
2026-03-28,Syringes,2292,218,0,0,376339.17
2026-03-28,Bandages,3928,307,0,0,1375278.77
2026-03-28,O2 Cylinders,659,30,0,0,213169.08
2026-03-29,Paracetamol,3393,233,0,0,313018.81
2026-03-29,Amoxicillin,3684,163,0,0,405607.12
2026-03-29,Insulin,2443,102,26,0,999303.13
2026-03-29,Antibiotics,4582,366,0,0,2261357.57
2026-03-29,IV Fluids,4148,357,0,0,1616788.93
2026-03-29,Syringes,2891,77,27,507,784310.13
2026-03-29,Bandages,1943,49,0,0,803287.63
2026-03-29,O2 Cylinders,4138,382,0,555,1249541.02
2026-03-30,Paracetamol,2001,170,0,0,905032.25
2026-03-30,Amoxicillin,2667,113,0,0,88804.72
2026-03-30,Insulin,529,8,0,0,231485.83
2026-03-30,Antibiotics,2160,23,0,0,991352.55
2026-03-30,IV Fluids,3470,232,0,0,216322.49
2026-03-30,Syringes,3384,211,0,0,294952.59
2026-03-30,Bandages,1504,44,0,0,356592.12
2026-03-30,O2 Cylinders,1987,182,0,0,253268.17
2026-03-31,Paracetamol,2982,230,0,0,44951.91
2026-03-31,Amoxicillin,2123,199,0,0,904288.53
2026-03-31,Insulin,149,11,0,0,45495.58
2026-03-31,Antibiotics,3005,256,0,0,544669.42
2026-03-31,IV Fluids,3109,180,0,0,278619.51
2026-03-31,Syringes,4909,480,0,0,1227336.85
2026-03-31,Bandages,1905,159,0,0,267513.01
2026-03-31,O2 Cylinders,1112,18,0,0,274973.53
2026-04-01,Paracetamol,2028,55,0,0,507590.27
2026-04-01,Amoxicillin,2498,38,0,0,1087673.88
2026-04-01,Insulin,3116,54,0,0,226564.66
2026-04-01,Antibiotics,323,3,0,0,121503.66
2026-04-01,IV Fluids,1180,13,0,0,572881.59
2026-04-01,Syringes,1709,78,0,0,588793.22
2026-04-01,Bandages,163,14,0,0,49737.48
2026-04-01,O2 Cylinders,2343,224,0,0,700176.16
2026-04-02,Paracetamol,1952,179,0,0,627846.94
2026-04-02,Amoxicillin,3105,230,0,518,49845.32
2026-04-02,Insulin,2708,142,0,46,591567.61
2026-04-02,Antibiotics,1494,25,0,0,238375.56
2026-04-02,IV Fluids,4591,308,60,0,1934195.23
2026-04-02,Syringes,4261,338,0,0,865994.35
2026-04-02,Bandages,649,61,0,0,229555.84
2026-04-02,O2 Cylinders,3785,111,0,0,775885.82
2026-04-03,Paracetamol,951,11,0,0,80859.49
2026-04-03,Amoxicillin,3262,33,0,0,380770.76
2026-04-03,Insulin,3257,270,0,0,198537.62
2026-04-03,Antibiotics,2942,43,0,0,1312839.16
2026-04-03,IV Fluids,4435,357,0,0,2195818.36
2026-04-03,Syringes,4433,421,0,0,2154046.55
2026-04-03,Bandages,2102,165,0,0,287173.32
2026-04-03,O2 Cylinders,1342,118,0,0,425919.5
2026-04-04,Paracetamol,3753,106,0,31,28115.0
2026-04-04,Amoxicillin,1336,96,0,0,250284.23
2026-04-04,Insulin,444,4,0,0,192414.9
2026-04-04,Antibiotics,3322,138,0,0,1097797.73
2026-04-04,IV Fluids,110,8,0,0,52059.97
2026-04-04,Syringes,3903,101,0,635,452169.93
2026-04-04,Bandages,373,13,0,0,78554.08
2026-04-04,O2 Cylinders,4983,150,388,0,2340054.1
2026-04-05,Paracetamol,2163,71,0,0,196617.87
2026-04-05,Amoxicillin,2188,57,0,0,408883.26
2026-04-05,Insulin,298,29,0,0,133171.26
2026-04-05,Antibiotics,2864,143,0,0,1418035.34
2026-04-05,IV Fluids,4341,275,0,0,1805483.03
2026-04-05,Syringes,4411,346,0,0,304406.65
2026-04-05,Bandages,622,25,0,0,220277.24
2026-04-05,O2 Cylinders,3345,330,0,0,774955.98
2026-04-06,Paracetamol,1675,50,87,0,381760.79
2026-04-06,Amoxicillin,289,28,0,0,8923.68
2026-04-06,Insulin,1781,112,0,0,497029.04
2026-04-06,Antibiotics,74,4,0,0,34608.98
2026-04-06,IV Fluids,1350,63,0,78,489763.15
2026-04-06,Syringes,3668,218,0,0,45580.01
2026-04-06,Bandages,408,34,0,0,70812.04
2026-04-06,O2 Cylinders,1837,126,0,0,338131.15
2026-04-07,Paracetamol,4485,165,38,0,454185.3
2026-04-07,Amoxicillin,899,65,0,0,378360.38
2026-04-07,Insulin,3228,287,0,272,528150.54
2026-04-07,Antibiotics,4662,222,0,0,2289430.09
2026-04-07,IV Fluids,1666,84,0,0,423572.84
2026-04-07,Syringes,694,49,0,25,300277.25
2026-04-07,Bandages,1930,22,0,0,371749.05
2026-04-07,O2 Cylinders,3993,361,0,0,1722119.59
2026-04-08,Paracetamol,1620,27,0,0,598336.33
2026-04-08,Amoxicillin,1870,161,0,0,161395.43
2026-04-08,Insulin,761,56,0,0,133484.6
2026-04-08,Antibiotics,3897,277,0,0,729717.18
2026-04-08,IV Fluids,1302,47,0,0,60520.68
2026-04-08,Syringes,577,11,0,0,239579.71
2026-04-08,Bandages,3999,133,0,0,532097.51
2026-04-08,O2 Cylinders,537,50,0,0,49118.39
2026-04-09,Paracetamol,2175,26,0,0,55554.06
2026-04-09,Amoxicillin,4946,154,0,0,1284158.32
2026-04-09,Insulin,4182,68,0,0,1772964.7
2026-04-09,Antibiotics,2995,151,0,203,901145.54
2026-04-09,IV Fluids,4389,343,0,0,1854613.82
2026-04-09,Syringes,2796,93,0,0,568520.64
2026-04-09,Bandages,4551,290,0,0,1061037.26
2026-04-09,O2 Cylinders,2851,176,0,0,33715.65
2026-04-10,Paracetamol,1408,120,0,0,124353.89
2026-04-10,Amoxicillin,116,3,0,0,41440.84
2026-04-10,Insulin,4764,129,0,0,1252372.36
2026-04-10,Antibiotics,3990,161,0,0,1509820.9
2026-04-10,IV Fluids,1503,47,0,0,82603.07
2026-04-10,Syringes,3807,134,0,369,1650157.59
2026-04-10,Bandages,3099,89,0,0,1045468.29
2026-04-10,O2 Cylinders,4598,95,0,0,881203.37
2026-04-11,Paracetamol,3065,110,0,0,1379250.04
2026-04-11,Amoxicillin,3424,72,0,0,877422.06
2026-04-11,Insulin,973,27,0,0,157247.16
2026-04-11,Antibiotics,2168,35,0,0,348484.59
2026-04-11,IV Fluids,4527,367,0,0,2117399.56
2026-04-11,Syringes,175,12,0,0,34091.47
2026-04-11,Bandages,3617,357,0,15,79615.52
2026-04-11,O2 Cylinders,3308,315,0,0,333137.44
2026-04-12,Paracetamol,2085,177,0,0,965268.93
2026-04-12,Amoxicillin,1822,173,0,0,754188.39
2026-04-12,Insulin,3227,110,0,0,1322107.6
2026-04-12,Antibiotics,1979,122,0,0,127254.96
2026-04-12,IV Fluids,2654,164,0,0,1110211.79
2026-04-12,Syringes,3838,314,0,0,1260942.64
2026-04-12,Bandages,45,3,0,0,17223.67
2026-04-12,O2 Cylinders,2278,34,0,0,1133848.12
2026-04-13,Paracetamol,1079,12,0,0,415382.47
2026-04-13,Amoxicillin,541,7,0,0,156384.35
2026-04-13,Insulin,1273,123,0,0,182852.45
2026-04-13,Antibiotics,3977,211,0,0,1510792.01
2026-04-13,IV Fluids,3106,172,0,0,1220143.53
2026-04-13,Syringes,1576,105,0,0,640502.2
2026-04-13,Bandages,3979,55,0,0,557395.63
2026-04-13,O2 Cylinders,2211,80,0,0,674177.36
2026-04-14,Paracetamol,3148,166,0,0,623378.02
2026-04-14,Amoxicillin,1106,13,0,0,431249.68
2026-04-14,Insulin,3900,276,0,0,272600.38
2026-04-14,Antibiotics,3386,229,0,370,319624.29
2026-04-14,IV Fluids,91,4,0,0,35071.11
2026-04-14,Syringes,4442,145,364,0,1901665.76
2026-04-14,Bandages,1523,151,0,253,30428.81
2026-04-14,O2 Cylinders,2160,116,0,0,611907.48
2026-04-15,Paracetamol,2324,160,0,0,185256.76
2026-04-15,Amoxicillin,759,26,0,0,157337.03
2026-04-15,Insulin,773,44,0,0,172928.57
2026-04-15,Antibiotics,262,6,0,0,96102.66
2026-04-15,IV Fluids,2271,86,0,0,903471.51
2026-04-15,Syringes,2993,171,0,0,25878.97
2026-04-15,Bandages,2993,44,0,0,1341644.2
2026-04-15,O2 Cylinders,2861,78,0,0,490507.17
2026-04-16,Paracetamol,3742,51,0,0,1180884.64
2026-04-16,Amoxicillin,1519,84,0,146,56604.58
2026-04-16,Insulin,2861,174,0,0,1120745.49
2026-04-16,Antibiotics,2421,66,0,0,343118.97
2026-04-16,IV Fluids,3178,218,0,0,282386.37
2026-04-16,Syringes,3821,270,0,0,1601865.7
2026-04-16,Bandages,2918,177,0,0,502749.97
2026-04-16,O2 Cylinders,1723,49,110,0,663817.87
2026-04-17,Paracetamol,1361,76,0,0,353203.96
2026-04-17,Amoxicillin,3772,373,0,0,1633630.24
2026-04-17,Insulin,1566,147,0,0,726446.0
2026-04-17,Antibiotics,69,2,0,0,25864.38
2026-04-17,IV Fluids,2288,59,0,0,693154.63
2026-04-17,Syringes,2764,135,0,0,15371.4
2026-04-17,Bandages,2341,172,0,395,766505.89
2026-04-17,O2 Cylinders,1288,15,0,0,285851.68
2026-04-18,Paracetamol,2039,59,0,0,795843.19
2026-04-18,Amoxicillin,3866,148,0,303,1817473.18
2026-04-18,Insulin,1610,149,0,0,225406.53
2026-04-18,Antibiotics,1616,103,0,0,554603.71
2026-04-18,IV Fluids,3514,164,0,0,608687.48
2026-04-18,Syringes,2104,145,0,0,1005100.06
2026-04-18,Bandages,851,59,0,125,268028.14
2026-04-18,O2 Cylinders,3839,163,0,0,64172.53
2026-04-19,Paracetamol,795,71,0,0,255500.49
2026-04-19,Amoxicillin,2612,221,0,0,708320.19
2026-04-19,Insulin,2663,110,0,0,259808.02
2026-04-19,Antibiotics,3646,217,0,0,1259714.31
2026-04-19,IV Fluids,3814,295,0,0,1194412.61
2026-04-19,Syringes,3832,264,0,0,1715006.48
2026-04-19,Bandages,3823,313,0,0,76840.97
2026-04-19,O2 Cylinders,2926,77,0,0,32721.26
2026-04-20,Paracetamol,4117,225,0,0,1165787.67
2026-04-20,Amoxicillin,3081,103,0,0,1030525.17
2026-04-20,Insulin,3811,189,0,0,1840509.43
2026-04-20,Antibiotics,1416,40,0,0,337748.03
2026-04-20,IV Fluids,2998,141,0,0,256952.52
2026-04-20,Syringes,120,10,0,0,54464.54
2026-04-20,Bandages,1368,104,0,0,44022.69
2026-04-20,O2 Cylinders,2167,73,0,0,657278.8
2026-04-21,Paracetamol,1739,172,0,0,750683.09
2026-04-21,Amoxicillin,2245,105,0,0,821625.66
2026-04-21,Insulin,4795,328,0,0,37268.79
2026-04-21,Antibiotics,3737,223,0,0,1732783.96
2026-04-21,IV Fluids,1833,104,0,0,768271.63
2026-04-21,Syringes,4889,294,0,0,2158608.23
2026-04-21,Bandages,444,18,0,0,52811.33
2026-04-21,O2 Cylinders,964,33,0,0,162046.81
2026-04-22,Paracetamol,529,26,0,0,230210.5
2026-04-22,Amoxicillin,1089,49,0,0,14876.94
2026-04-22,Insulin,555,50,0,0,275455.82
2026-04-22,Antibiotics,4030,79,0,0,1602985.71
2026-04-22,IV Fluids,2876,267,0,0,942490.64
2026-04-22,Syringes,3770,74,0,0,1611555.4
2026-04-22,Bandages,4288,239,0,0,914247.39
2026-04-22,O2 Cylinders,2174,184,0,0,826117.4
2026-04-23,Paracetamol,4947,315,0,0,446994.21
2026-04-23,Amoxicillin,230,6,0,0,19495.1
2026-04-23,Insulin,45,0,0,0,4006.91
2026-04-23,Antibiotics,2623,69,0,0,713754.97
2026-04-23,IV Fluids,3155,175,0,0,977462.97
2026-04-23,Syringes,3235,203,0,0,951950.16
2026-04-23,Bandages,4054,353,0,0,961733.53
2026-04-23,O2 Cylinders,4630,399,0,0,1255252.79
2026-04-24,Paracetamol,4632,322,0,0,1961322.46
2026-04-24,Amoxicillin,4068,266,0,0,2014357.27
2026-04-24,Insulin,2027,140,0,0,398017.93
2026-04-24,Antibiotics,1448,135,0,0,287095.75
2026-04-24,IV Fluids,2629,99,0,0,1255989.75
2026-04-24,Syringes,1927,181,142,0,804666.68
2026-04-24,Bandages,2856,252,0,0,1182667.85
2026-04-24,O2 Cylinders,941,71,0,0,261720.24
2026-04-25,Paracetamol,4403,248,0,0,888916.27
2026-04-25,Amoxicillin,538,40,0,0,129876.53
2026-04-25,Insulin,4429,363,0,0,310836.98
2026-04-25,Antibiotics,1272,74,0,0,198695.46
2026-04-25,IV Fluids,3780,89,0,0,367053.2
2026-04-25,Syringes,4241,282,0,0,2100295.37
2026-04-25,Bandages,4846,407,0,0,128886.77
2026-04-25,O2 Cylinders,2797,175,0,0,1108047.81
2026-04-26,Paracetamol,3612,323,0,0,736833.32
2026-04-26,Amoxicillin,3159,261,0,0,181385.84
2026-04-26,Insulin,3362,130,0,0,56097.15
2026-04-26,Antibiotics,3925,68,0,0,171601.77
2026-04-26,IV Fluids,4104,67,391,0,989562.69
2026-04-26,Syringes,4021,98,0,0,105621.44
2026-04-26,Bandages,4697,399,0,0,1405038.64
2026-04-26,O2 Cylinders,667,23,0,0,148297.34
2026-04-27,Paracetamol,2004,185,0,0,321794.63
2026-04-27,Amoxicillin,2187,107,215,0,611339.81
2026-04-27,Insulin,1480,104,2,0,447478.02
2026-04-27,Antibiotics,441,15,0,0,95318.35
2026-04-27,IV Fluids,3830,341,286,0,1515223.49
2026-04-27,Syringes,1842,121,0,0,131352.89
2026-04-27,Bandages,2013,116,0,0,406617.13
