date,department,transaction_type,revenue,expense,net_revenue
2026-02-24,Oncology,Medication,4053.57,1481.91,2571.66
2026-02-24,Oncology,Medication,3612.25,1671.5,1940.75
2026-02-24,Oncology,Surgery,3679.91,2611.57,1068.34
2026-02-24,Oncology,Surgery,1850.49,913.69,936.8
2026-02-24,Oncology,Surgery,3386.94,1393.57,1993.37
2026-02-24,Oncology,Lab Test,3728.7,1419.49,2309.2
2026-02-24,Oncology,Surgery,4327.55,1790.91,2536.64
2026-02-24,Oncology,Room Charge,2535.67,1069.2,1466.47
2026-02-24,Pediatrics,Consultation,3872.35,2798.88,1073.48
2026-02-24,Pediatrics,Consultation,4095.41,2192.62,1902.79
2026-02-24,Pediatrics,Surgery,2683.65,2132.44,551.21
2026-02-24,Pediatrics,Lab Test,1996.14,1178.73,817.41
2026-02-24,Pediatrics,Lab Test,3438.34,2194.37,1243.97
2026-02-24,Pediatrics,Lab Test,3100.16,947.02,2153.14
2026-02-24,Pediatrics,Surgery,3769.56,1922.41,1847.15
2026-02-24,Pediatrics,Lab Test,951.78,623.33,328.45
2026-02-24,Pediatrics,Medication,4119.38,1919.41,2199.97
2026-02-24,Pediatrics,Consultation,3297.39,2450.99,846.4
2026-02-24,Pediatrics,Surgery,4103.42,1424.38,2679.04
2026-02-24,Pediatrics,Medication,3420.17,2573.34,846.82
2026-02-24,Pediatrics,Medication,1523.83,982.41,541.42
2026-02-24,Pediatrics,Room Charge,4302.14,1676.02,2626.12
2026-02-24,Pediatrics,Medication,3881.71,2203.24,1678.47
2026-02-24,Pediatrics,Lab Test,4248.23,2203.98,2044.24
2026-02-24,Pediatrics,Medication,4563.93,1580.84,2983.09
2026-02-24,Pediatrics,Consultation,1498.19,792.32,705.87
2026-02-24,Pediatrics,Consultation,2775.59,1174.42,1601.17
2026-02-24,Pediatrics,Medication,2711.3,912.07,1799.23
2026-02-24,Pediatrics,Medication,3951.46,3110.6,840.87
2026-02-24,Pediatrics,Medication,4236.27,2686.62,1549.65
2026-02-24,Pediatrics,Lab Test,2676.99,1040.6,1636.39
2026-02-24,Pediatrics,Surgery,3584.48,2266.68,1317.8
2026-02-24,Pediatrics,Consultation,2269.25,1369.91,899.35
2026-02-24,Pediatrics,Surgery,2440.56,1779.54,661.02
2026-02-24,Pediatrics,Lab Test,4819.96,3608.37,1211.59
2026-02-24,Pediatrics,Consultation,1262.03,970.98,291.05
2026-02-24,Pediatrics,Room Charge,1559.95,1029.0,530.95
2026-02-24,Pediatrics,Consultation,512.39,177.36,335.03
2026-02-24,Pediatrics,Surgery,2171.34,1700.22,471.11
2026-02-24,Pediatrics,Room Charge,3069.92,1214.8,1855.13
2026-02-24,Pediatrics,Consultation,833.98,329.8,504.18
2026-02-24,Pediatrics,Room Charge,4223.76,2195.19,2028.57
2026-02-24,Pediatrics,Consultation,1002.23,630.59,371.63
2026-02-24,Pediatrics,Surgery,599.44,427.74,171.7
2026-02-24,Pediatrics,Medication,2990.73,1502.54,1488.19
2026-02-24,Pediatrics,Surgery,4464.59,1850.84,2613.76
2026-02-24,Pediatrics,Surgery,2505.45,1343.23,1162.22
2026-02-24,Pediatrics,Medication,1530.1,871.37,658.73
2026-02-24,Pediatrics,Room Charge,1874.67,870.47,1004.2
2026-02-24,Pediatrics,Room Charge,894.36,710.56,183.8
2026-02-24,Pediatrics,Lab Test,3574.06,1174.71,2399.35
2026-02-24,Pediatrics,Room Charge,3795.55,2493.61,1301.94
2026-02-24,Pediatrics,Room Charge,1550.55,794.0,756.55
2026-02-24,Pediatrics,Room Charge,2065.29,834.49,1230.79
2026-02-24,Pediatrics,Room Charge,3910.94,2257.36,1653.58
2026-02-24,Pediatrics,Room Charge,2814.9,1130.27,1684.63
2026-02-24,Pediatrics,Medication,3632.75,1530.02,2102.73
2026-02-25,Cardiology,Room Charge,4743.54,2170.92,2572.62
2026-02-25,Cardiology,Lab Test,1957.05,967.53,989.52
2026-02-25,Cardiology,Room Charge,2908.79,1169.01,1739.78
2026-02-25,Cardiology,Room Charge,1084.8,837.83,246.97
2026-02-25,Cardiology,Surgery,4748.68,2235.56,2513.12
2026-02-25,Cardiology,Room Charge,1701.54,947.59,753.95
2026-02-25,Cardiology,Surgery,4510.11,2733.98,1776.13
2026-02-25,Cardiology,Lab Test,1871.99,1135.47,736.52
2026-02-25,Cardiology,Consultation,1444.53,927.06,517.46
2026-02-25,Cardiology,Consultation,1161.73,578.51,583.22
2026-02-25,Cardiology,Consultation,727.09,268.29,458.8
2026-02-25,Cardiology,Surgery,4842.77,2098.93,2743.84
2026-02-25,Cardiology,Room Charge,2521.22,1723.61,797.61
2026-02-25,Cardiology,Room Charge,3892.56,1893.8,1998.76
2026-02-25,Cardiology,Medication,2369.75,823.83,1545.92
2026-02-25,Cardiology,Medication,1641.2,1062.67,578.53
2026-02-25,Cardiology,Lab Test,3204.11,1917.45,1286.67
2026-02-25,Cardiology,Consultation,1024.64,396.05,628.6
2026-02-25,Cardiology,Consultation,2781.6,1386.6,1395.0
2026-02-25,Cardiology,Room Charge,1295.43,711.25,584.18
2026-02-25,Cardiology,Room Charge,1026.53,694.32,332.2
2026-02-25,Cardiology,Room Charge,4434.22,3013.15,1421.07
2026-02-25,Cardiology,Medication,2123.7,774.04,1349.67
2026-02-25,Cardiology,Medication,3344.37,1731.18,1613.19
2026-02-25,Cardiology,Consultation,3553.12,1944.99,1608.13
2026-02-25,Cardiology,Lab Test,3768.37,1581.84,2186.53
2026-02-25,Cardiology,Consultation,1290.86,733.54,557.33
2026-02-25,Cardiology,Consultation,747.17,491.62,255.55
2026-02-25,Cardiology,Medication,3622.61,2765.15,857.47
2026-02-25,Cardiology,Lab Test,2345.59,1534.27,811.32
2026-02-25,Cardiology,Surgery,949.0,531.05,417.95
2026-02-25,Cardiology,Room Charge,3253.15,1334.94,1918.2
2026-02-25,Cardiology,Medication,1948.44,1229.97,718.47
2026-02-25,Cardiology,Consultation,1803.1,1366.5,436.6
2026-02-25,Cardiology,Medication,1138.97,473.74,665.23
2026-02-25,Cardiology,Lab Test,1773.91,1347.72,426.19
2026-02-25,Cardiology,Room Charge,2848.28,2205.18,643.1
2026-02-25,Neurology,Consultation,2204.82,1297.95,906.87
2026-02-25,Neurology,Room Charge,3983.16,1632.22,2350.94
2026-02-25,Neurology,Room Charge,688.41,235.13,453.27
2026-02-25,Neurology,Consultation,3574.17,1635.84,1938.33
2026-02-25,Neurology,Medication,3140.89,1449.32,1691.57
2026-02-25,Neurology,Room Charge,3409.94,1621.27,1788.68
2026-02-25,Neurology,Consultation,4001.21,1623.58,2377.63
2026-02-25,Neurology,Consultation,517.88,326.74,191.14
2026-02-25,Neurology,Medication,1658.57,791.9,866.66
2026-02-25,Neurology,Surgery,1827.28,1039.12,788.17
2026-02-25,Neurology,Surgery,4448.65,1508.31,2940.33
2026-02-25,Neurology,Medication,4321.27,2613.14,1708.14
2026-02-25,Neurology,Lab Test,4327.45,3147.25,1180.2
2026-02-25,Neurology,Room Charge,4187.88,3155.33,1032.55
2026-02-25,Neurology,Medication,3826.53,1870.15,1956.38
2026-02-25,Neurology,Surgery,2076.67,1607.78,468.89
2026-02-25,Neurology,Surgery,2782.89,983.2,1799.69
2026-02-25,Neurology,Medication,1166.19,353.63,812.57
2026-02-25,Neurology,Consultation,567.13,376.53,190.59
2026-02-25,Neurology,Lab Test,3427.3,1355.57,2071.72
2026-02-25,Neurology,Surgery,1925.4,1247.41,677.99
2026-02-25,Orthopedics,Lab Test,1707.04,1264.44,442.59
2026-02-25,Orthopedics,Room Charge,3425.63,2411.22,1014.42
2026-02-25,Orthopedics,Medication,3170.41,2344.36,826.05
2026-02-25,Orthopedics,Consultation,3135.75,1969.43,1166.32
2026-02-25,Orthopedics,Medication,1837.61,572.2,1265.41
2026-02-25,Orthopedics,Surgery,3219.06,1451.95,1767.11
2026-02-25,Orthopedics,Room Charge,1440.1,1110.04,330.06
2026-02-25,Orthopedics,Consultation,1471.12,544.45,926.66
2026-02-25,Orthopedics,Surgery,2985.95,1075.76,1910.19
2026-02-25,Orthopedics,Surgery,4614.0,2693.06,1920.94
2026-02-25,Orthopedics,Consultation,1322.23,720.29,601.94
2026-02-25,Orthopedics,Consultation,747.1,544.88,202.21
2026-02-25,Orthopedics,Lab Test,4849.27,3582.49,1266.78
2026-02-25,Orthopedics,Lab Test,2207.53,1256.14,951.39
2026-02-25,Orthopedics,Room Charge,2361.27,779.65,1581.62
2026-02-25,Orthopedics,Surgery,2298.33,1638.71,659.62
2026-02-25,Orthopedics,Consultation,4713.48,3144.28,1569.2
2026-02-25,Orthopedics,Lab Test,3659.99,2107.95,1552.04
2026-02-25,Orthopedics,Surgery,3894.76,2747.11,1147.65
2026-02-25,Orthopedics,Consultation,4686.84,2639.12,2047.72
2026-02-25,Orthopedics,Consultation,1565.16,1074.55,490.61
2026-02-25,Orthopedics,Room Charge,737.59,436.88,300.71
2026-02-25,Orthopedics,Lab Test,637.9,411.32,226.58
2026-02-25,Orthopedics,Room Charge,4606.25,1764.61,2841.64
2026-02-25,Orthopedics,Consultation,668.6,496.05,172.55
2026-02-25,Orthopedics,Surgery,4233.37,1515.17,2718.2
2026-02-25,Orthopedics,Lab Test,3963.59,2738.43,1225.15
2026-02-25,Orthopedics,Surgery,4900.62,2455.83,2444.8
2026-02-25,Orthopedics,Surgery,3525.72,1488.71,2037.01
2026-02-25,Orthopedics,Consultation,3734.38,1235.21,2499.17
2026-02-25,Orthopedics,Consultation,2047.94,1513.6,534.34
2026-02-25,Orthopedics,Lab Test,4194.82,3284.8,910.03
2026-02-25,Orthopedics,Surgery,4493.8,2702.69,1791.11
2026-02-25,Orthopedics,Room Charge,1250.83,552.83,698.0
2026-02-25,Orthopedics,Room Charge,610.0,302.54,307.46
2026-02-25,Orthopedics,Medication,729.29,438.22,291.07
2026-02-25,Orthopedics,Medication,864.24,633.17,231.07
2026-02-25,Orthopedics,Medication,3247.88,1115.15,2132.73
2026-02-25,Orthopedics,Medication,3093.11,1313.44,1779.66
2026-02-25,Orthopedics,Lab Test,2787.93,946.0,1841.93
2026-02-25,Orthopedics,Lab Test,4914.88,2833.75,2081.13
2026-02-25,Orthopedics,Medication,3586.85,2539.06,1047.8
2026-02-25,Orthopedics,Consultation,2409.85,997.93,1411.92
2026-02-25,General,Consultation,3390.84,1905.36,1485.48
2026-02-25,General,Surgery,1933.59,1119.4,814.19
2026-02-25,General,Consultation,643.31,401.9,241.41
2026-02-25,General,Surgery,2428.61,1126.74,1301.87
2026-02-25,General,Lab Test,3163.29,1628.45,1534.84
2026-02-25,General,Room Charge,2748.99,1575.53,1173.46
2026-02-25,General,Consultation,4332.89,1507.13,2825.76
2026-02-25,General,Medication,1053.78,818.31,235.47
2026-02-25,General,Surgery,3545.7,2200.46,1345.23
2026-02-25,General,Room Charge,896.41,356.28,540.13
2026-02-25,General,Room Charge,4231.3,2818.12,1413.18
2026-02-25,General,Room Charge,3363.86,2129.49,1234.38
2026-02-25,General,Lab Test,2997.76,1752.53,1245.22
2026-02-25,General,Room Charge,589.9,388.07,201.83
2026-02-25,General,Surgery,2549.63,1120.86,1428.77
2026-02-25,General,Room Charge,2703.79,1358.96,1344.83
2026-02-25,General,Lab Test,1178.8,474.93,703.87
2026-02-25,General,Room Charge,3565.29,1486.42,2078.87
2026-02-25,General,Consultation,1658.78,636.06,1022.72
2026-02-25,Emergency,Room Charge,899.95,714.42,185.53
2026-02-25,Emergency,Room Charge,4462.51,1486.9,2975.61
2026-02-25,Emergency,Room Charge,4462.6,1873.78,2588.82
2026-02-25,Emergency,Room Charge,2987.98,1966.96,1021.02
2026-02-25,Emergency,Consultation,688.02,359.44,328.58
2026-02-25,Emergency,Surgery,2822.39,2007.0,815.39
2026-02-25,Emergency,Consultation,4889.23,3895.44,993.79
2026-02-25,Emergency,Consultation,1546.26,621.5,924.76
2026-02-25,Emergency,Room Charge,1872.34,1121.2,751.14
2026-02-25,Emergency,Room Charge,990.89,372.57,618.32
2026-02-25,Emergency,Lab Test,3589.45,1281.31,2308.14
2026-02-25,Emergency,Consultation,1028.78,487.47,541.31
2026-02-25,Emergency,Surgery,2353.75,1627.62,726.13
2026-02-25,Emergency,Consultation,2760.54,994.43,1766.11
2026-02-25,Emergency,Lab Test,4940.4,3549.17,1391.23
2026-02-25,Emergency,Room Charge,3364.13,2015.88,1348.25
2026-02-25,Emergency,Medication,3606.12,2601.78,1004.34
2026-02-25,Emergency,Room Charge,1273.23,978.23,295.0
2026-02-25,Emergency,Consultation,4492.02,2572.03,1919.99
2026-02-25,Emergency,Medication,2661.75,1377.46,1284.29
2026-02-25,Emergency,Medication,4234.51,2944.36,1290.15
2026-02-25,Emergency,Room Charge,3887.68,2446.41,1441.27
2026-02-25,Emergency,Consultation,3185.39,2494.27,691.12
2026-02-25,Emergency,Medication,2546.85,1020.41,1526.43
2026-02-25,Emergency,Consultation,3755.44,1822.05,1933.39
2026-02-25,Emergency,Medication,4512.26,2715.34,1796.92
2026-02-25,Emergency,Surgery,2633.59,1406.72,1226.87
2026-02-25,Emergency,Surgery,4500.93,2764.84,1736.1
2026-02-25,Emergency,Medication,1327.28,966.11,361.18
2026-02-25,Oncology,Lab Test,4041.18,1841.66,2199.52
2026-02-25,Oncology,Surgery,4488.13,2447.75,2040.37
2026-02-25,Oncology,Consultation,4571.28,2759.91,1811.38
2026-02-25,Oncology,Consultation,2517.66,1372.18,1145.48
2026-02-25,Oncology,Lab Test,2578.86,1706.41,872.45
2026-02-25,Oncology,Medication,3194.92,2480.15,714.76
2026-02-25,Oncology,Room Charge,3770.19,2767.76,1002.43
2026-02-25,Oncology,Surgery,4798.35,2927.79,1870.56
2026-02-25,Oncology,Surgery,1729.12,733.07,996.05
2026-02-25,Oncology,Lab Test,4892.93,2147.99,2744.94
2026-02-25,Oncology,Lab Test,4250.22,2667.2,1583.02
2026-02-25,Oncology,Consultation,3139.63,1666.37,1473.26
2026-02-25,Oncology,Medication,1069.56,534.89,534.67
2026-02-25,Oncology,Lab Test,1825.36,662.9,1162.45
2026-02-25,Oncology,Surgery,3280.22,2045.6,1234.62
2026-02-25,Pediatrics,Medication,4986.04,3671.0,1315.04
2026-02-25,Pediatrics,Medication,932.97,523.96,409.02
2026-02-25,Pediatrics,Consultation,1733.71,844.21,889.5
2026-02-25,Pediatrics,Medication,4832.13,3183.9,1648.22
2026-02-25,Pediatrics,Medication,3514.96,1651.61,1863.35
2026-02-25,Pediatrics,Medication,3969.3,3051.73,917.57
2026-02-25,Pediatrics,Surgery,581.67,307.59,274.09
2026-02-25,Pediatrics,Lab Test,2800.07,1619.67,1180.41
2026-02-25,Pediatrics,Medication,2121.17,1167.86,953.32
2026-02-25,Pediatrics,Medication,2050.56,679.6,1370.96
2026-02-25,Pediatrics,Room Charge,2932.11,2332.87,599.24
2026-02-26,Cardiology,Lab Test,3225.14,1560.61,1664.53
2026-02-26,Cardiology,Room Charge,4893.8,1914.15,2979.65
2026-02-26,Cardiology,Consultation,2702.93,1354.84,1348.09
2026-02-26,Cardiology,Lab Test,4643.21,1886.35,2756.86
2026-02-26,Cardiology,Consultation,1031.78,393.7,638.08
2026-02-26,Cardiology,Room Charge,2559.44,1603.03,956.41
2026-02-26,Cardiology,Medication,4756.17,3719.55,1036.62
2026-02-26,Cardiology,Consultation,3120.91,2285.21,835.7
2026-02-26,Cardiology,Consultation,2450.59,1049.89,1400.7
2026-02-26,Cardiology,Surgery,2610.18,1604.92,1005.26
2026-02-26,Cardiology,Medication,2606.54,1941.15,665.38
2026-02-26,Cardiology,Consultation,697.18,445.13,252.05
2026-02-26,Cardiology,Medication,2411.39,1066.46,1344.93
2026-02-26,Cardiology,Surgery,3530.53,1457.27,2073.26
2026-02-26,Cardiology,Room Charge,3589.55,1348.81,2240.75
2026-02-26,Cardiology,Surgery,2099.68,928.66,1171.02
2026-02-26,Cardiology,Room Charge,3569.92,1456.13,2113.79
2026-02-26,Cardiology,Surgery,817.21,424.32,392.89
2026-02-26,Cardiology,Medication,980.82,674.7,306.11
2026-02-26,Cardiology,Medication,4833.7,2157.85,2675.84
2026-02-26,Cardiology,Medication,2430.72,1793.82,636.9
2026-02-26,Cardiology,Medication,4073.41,1883.67,2189.74
2026-02-26,Cardiology,Surgery,3751.4,1400.16,2351.24
2026-02-26,Cardiology,Lab Test,3292.51,2190.94,1101.57
2026-02-26,Cardiology,Medication,2681.46,1161.43,1520.03
2026-02-26,Cardiology,Lab Test,3213.36,2326.81,886.55
2026-02-26,Cardiology,Room Charge,4622.58,3303.65,1318.93
2026-02-26,Cardiology,Room Charge,2361.16,1813.0,548.17
2026-02-26,Cardiology,Consultation,4065.74,2616.0,1449.75
2026-02-26,Cardiology,Surgery,4040.42,2548.95,1491.47
2026-02-26,Cardiology,Lab Test,3888.01,2587.43,1300.59
2026-02-26,Neurology,Surgery,3855.98,1851.84,2004.14
2026-02-26,Neurology,Lab Test,3679.75,2393.32,1286.43
2026-02-26,Neurology,Lab Test,4452.92,2817.37,1635.55
2026-02-26,Neurology,Room Charge,2175.13,1420.13,754.99
2026-02-26,Neurology,Room Charge,643.47,390.96,252.51
2026-02-26,Neurology,Lab Test,4342.86,2037.35,2305.52
2026-02-26,Neurology,Surgery,2753.22,1258.48,1494.74
2026-02-26,Neurology,Consultation,2856.99,1520.66,1336.33
2026-02-26,Neurology,Room Charge,1386.17,697.48,688.69
2026-02-26,Neurology,Consultation,4802.39,1817.95,2984.44
2026-02-26,Neurology,Surgery,3375.87,2500.99,874.87
2026-02-26,Neurology,Room Charge,3370.22,1934.87,1435.35
2026-02-26,Neurology,Room Charge,4189.93,3123.4,1066.53
2026-02-26,Neurology,Consultation,4432.42,3366.45,1065.96
2026-02-26,Neurology,Room Charge,1794.68,911.08,883.61
2026-02-26,Neurology,Surgery,2244.62,1637.54,607.07
2026-02-26,Neurology,Consultation,717.51,502.26,215.26
2026-02-26,Neurology,Room Charge,3613.8,2829.2,784.61
2026-02-26,Neurology,Consultation,3168.29,2442.52,725.77
2026-02-26,Neurology,Consultation,1105.61,826.71,278.9
2026-02-26,Neurology,Surgery,4557.25,3610.01,947.24
2026-02-26,Neurology,Lab Test,1027.7,572.76,454.94
2026-02-26,Neurology,Surgery,3187.9,1905.4,1282.5
2026-02-26,Neurology,Lab Test,4464.6,2638.82,1825.78
2026-02-26,Orthopedics,Room Charge,2768.6,2167.49,601.12
2026-02-26,Orthopedics,Medication,2464.79,1165.87,1298.92
2026-02-26,Orthopedics,Room Charge,786.92,412.22,374.7
2026-02-26,Orthopedics,Medication,3660.5,2674.89,985.61
2026-02-26,Orthopedics,Medication,1909.05,1387.16,521.89
2026-02-26,Orthopedics,Medication,942.71,481.88,460.82
2026-02-26,Orthopedics,Medication,3865.49,3014.69,850.81
2026-02-26,Orthopedics,Surgery,4020.74,2704.2,1316.54
2026-02-26,Orthopedics,Room Charge,2551.0,984.59,1566.41
2026-02-26,Orthopedics,Consultation,4450.4,2645.11,1805.29
2026-02-26,Orthopedics,Room Charge,2715.13,1304.7,1410.44
2026-02-26,Orthopedics,Room Charge,1063.49,639.69,423.8
2026-02-26,Orthopedics,Medication,1859.98,1041.33,818.65
2026-02-26,Orthopedics,Medication,897.65,525.62,372.03
2026-02-26,Orthopedics,Surgery,2006.1,1027.55,978.54
2026-02-26,Orthopedics,Surgery,4078.52,2402.74,1675.78
2026-02-26,Orthopedics,Medication,1660.56,1008.77,651.78
2026-02-26,Orthopedics,Lab Test,4703.06,1606.36,3096.7
2026-02-26,Orthopedics,Room Charge,1680.58,801.12,879.46
2026-02-26,Orthopedics,Medication,796.61,510.43,286.18
2026-02-26,Orthopedics,Lab Test,1964.36,592.74,1371.62
2026-02-26,Orthopedics,Surgery,581.19,420.05,161.14
2026-02-26,Orthopedics,Lab Test,4041.94,2950.29,1091.65
2026-02-26,Orthopedics,Consultation,1314.61,457.66,856.95
2026-02-26,Orthopedics,Medication,1226.9,881.93,344.97
2026-02-26,Orthopedics,Medication,2425.46,1510.02,915.44
2026-02-26,Orthopedics,Room Charge,853.49,571.48,282.01
2026-02-26,Orthopedics,Lab Test,3494.35,1744.57,1749.78
2026-02-26,Orthopedics,Room Charge,1967.37,956.85,1010.52
2026-02-26,Orthopedics,Consultation,1133.3,404.99,728.31
2026-02-26,Orthopedics,Surgery,4867.89,2671.86,2196.03
2026-02-26,Orthopedics,Consultation,4549.13,3622.63,926.49
2026-02-26,Orthopedics,Lab Test,2567.35,1352.28,1215.07
2026-02-26,Orthopedics,Lab Test,3640.88,1985.49,1655.38
2026-02-26,General,Medication,2570.26,1335.87,1234.39
2026-02-26,General,Medication,3465.47,1542.11,1923.36
2026-02-26,General,Medication,1760.92,890.94,869.98
2026-02-26,General,Medication,971.58,570.04,401.54
2026-02-26,General,Medication,1003.91,459.14,544.77
2026-02-26,General,Consultation,4269.99,2560.93,1709.06
2026-02-26,General,Room Charge,1681.81,1016.33,665.49
2026-02-26,General,Consultation,3679.19,1882.86,1796.32
2026-02-26,General,Surgery,4185.55,1305.89,2879.66
2026-02-26,General,Medication,1763.87,1182.28,581.59
2026-02-26,General,Surgery,2930.07,1863.5,1066.57
2026-02-26,General,Lab Test,2350.6,972.6,1377.99
2026-02-26,General,Surgery,3796.67,2250.79,1545.88
2026-02-26,General,Consultation,4264.67,2163.04,2101.62
2026-02-26,General,Surgery,3448.18,1627.27,1820.91
2026-02-26,General,Surgery,1907.37,926.0,981.37
2026-02-26,General,Room Charge,2521.44,1666.0,855.43
2026-02-26,General,Medication,4028.48,2679.65,1348.84
2026-02-26,General,Lab Test,2450.0,1200.45,1249.55
2026-02-26,General,Surgery,713.15,362.32,350.82
2026-02-26,General,Lab Test,691.56,513.95,177.61
2026-02-26,General,Consultation,584.37,239.59,344.79
2026-02-26,General,Consultation,1780.33,1116.28,664.05
2026-02-26,General,Medication,4591.7,3654.33,937.37
2026-02-26,General,Room Charge,1838.37,602.78,1235.59
2026-02-26,General,Lab Test,2297.1,1026.36,1270.74
2026-02-26,General,Lab Test,2552.64,1986.48,566.16
2026-02-26,General,Medication,1082.6,348.24,734.36
2026-02-26,General,Lab Test,1845.79,864.34,981.45
2026-02-26,General,Room Charge,3640.15,1695.59,1944.56
2026-02-26,General,Consultation,674.84,424.94,249.9
2026-02-26,General,Lab Test,638.21,309.09,329.12
2026-02-26,General,Lab Test,1790.53,765.78,1024.75
2026-02-26,General,Consultation,4754.18,1973.1,2781.08
2026-02-26,General,Medication,2215.04,1236.3,978.74
2026-02-26,General,Consultation,4396.89,2332.12,2064.77
2026-02-26,General,Lab Test,4163.34,3041.65,1121.69
2026-02-26,General,Surgery,4384.72,2427.86,1956.85
2026-02-26,General,Room Charge,2469.84,1952.19,517.65
2026-02-26,General,Consultation,4025.47,1747.72,2277.75
2026-02-26,General,Medication,1376.57,509.91,866.66
2026-02-26,General,Lab Test,1870.46,1004.12,866.34
2026-02-26,General,Room Charge,962.84,317.56,645.28
2026-02-26,General,Room Charge,530.92,385.88,145.04
2026-02-26,Emergency,Consultation,2242.15,1377.13,865.02
2026-02-26,Emergency,Lab Test,4902.28,2025.19,2877.09
2026-02-26,Emergency,Lab Test,4799.04,2752.85,2046.19
