date,department,total_beds,occupied_beds,critical_alerts,staff_on_duty
2026-03-27,Emergency,100,78,0,20
2026-03-28,Cardiology,100,94,1,24
2026-03-28,Neurology,100,85,2,14
2026-03-28,Orthopedics,100,65,4,29
2026-03-28,General,100,77,4,24
2026-03-28,Emergency,100,48,0,15
2026-03-29,Cardiology,100,73,1,17
2026-03-29,Neurology,100,85,3,27
2026-03-29,Orthopedics,100,50,0,26
2026-03-29,General,100,45,3,27
2026-03-29,Emergency,100,72,4,19
2026-03-30,Cardiology,100,57,3,23
2026-03-30,Neurology,100,75,0,10
2026-03-30,Orthopedics,100,42,1,14
2026-03-30,General,100,93,1,22
2026-03-30,Emergency,100,59,3,16
2026-03-31,Cardiology,100,63,4,18
2026-03-31,Neurology,100,84,1,12
2026-03-31,Orthopedics,100,90,3,14
2026-03-31,General,100,58,1,18
2026-03-31,Emergency,100,65,0,21
2026-04-01,Cardiology,100,93,0,16
2026-04-01,Neurology,100,67,4,25
2026-04-01,Orthopedics,100,77,4,19
2026-04-01,General,100,40,3,20
2026-04-01,Emergency,100,77,1,27
2026-04-02,Cardiology,100,67,3,25
2026-04-02,Neurology,100,88,3,16
2026-04-02,Orthopedics,100,56,4,13
2026-04-02,General,100,75,2,23
2026-04-02,Emergency,100,87,2,22
2026-04-03,Cardiology,100,51,1,16
2026-04-03,Neurology,100,40,3,25
2026-04-03,Orthopedics,100,44,4,29
2026-04-03,General,100,49,1,21
2026-04-03,Emergency,100,94,3,27
2026-04-04,Cardiology,100,91,1,11
2026-04-04,Neurology,100,46,4,14
2026-04-04,Orthopedics,100,78,0,21
2026-04-04,General,100,43,2,17
2026-04-04,Emergency,100,41,0,25
2026-04-05,Cardiology,100,93,1,15
2026-04-05,Neurology,100,41,3,13
2026-04-05,Orthopedics,100,86,3,15
2026-04-05,General,100,67,0,24
2026-04-05,Emergency,100,68,2,27
2026-04-06,Cardiology,100,41,1,28
2026-04-06,Neurology,100,49,4,15
2026-04-06,Orthopedics,100,62,4,29
2026-04-06,General,100,82,3,26
2026-04-06,Emergency,100,91,3,14
2026-04-07,Cardiology,100,89,4,15
2026-04-07,Neurology,100,76,3,14
2026-04-07,Orthopedics,100,67,4,20
2026-04-07,General,100,77,4,28
2026-04-07,Emergency,100,60,1,11
2026-04-08,Cardiology,100,76,4,10
2026-04-08,Neurology,100,49,3,24
2026-04-08,Orthopedics,100,62,0,24
2026-04-08,General,100,68,4,25
2026-04-08,Emergency,100,66,1,18
2026-04-09,Cardiology,100,63,3,23
2026-04-09,Neurology,100,55,2,14
2026-04-09,Orthopedics,100,48,3,28
2026-04-09,General,100,87,2,28
2026-04-09,Emergency,100,51,3,11
2026-04-10,Cardiology,100,73,4,21
2026-04-10,Neurology,100,56,3,26
2026-04-10,Orthopedics,100,56,2,25
2026-04-10,General,100,67,2,19
2026-04-10,Emergency,100,94,4,28
2026-04-11,Cardiology,100,85,1,25
2026-04-11,Neurology,100,47,4,29
2026-04-11,Orthopedics,100,63,3,10
2026-04-11,General,100,79,4,27
2026-04-11,Emergency,100,86,1,16
2026-04-12,Cardiology,100,46,4,10
2026-04-12,Neurology,100,58,4,20
2026-04-12,Orthopedics,100,42,0,11
2026-04-12,General,100,57,1,23
2026-04-12,Emergency,100,79,1,28
2026-04-13,Cardiology,100,91,1,29
2026-04-13,Neurology,100,44,1,28
2026-04-13,Orthopedics,100,85,3,23
2026-04-13,General,100,64,2,12
2026-04-13,Emergency,100,88,4,28
2026-04-14,Cardiology,100,84,0,29
2026-04-14,Neurology,100,82,0,11
2026-04-14,Orthopedics,100,90,1,28
2026-04-14,General,100,57,0,16
2026-04-14,Emergency,100,69,1,11
2026-04-15,Cardiology,100,73,3,17
2026-04-15,Neurology,100,59,4,21
2026-04-15,Orthopedics,100,77,0,26
2026-04-15,General,100,69,4,12
2026-04-15,Emergency,100,82,1,27
2026-04-16,Cardiology,100,91,3,21
2026-04-16,Neurology,100,59,2,14
2026-04-16,Orthopedics,100,42,1,22
2026-04-16,General,100,82,0,29
2026-04-16,Emergency,100,48,3,11
2026-04-17,Cardiology,100,92,0,12
2026-04-17,Neurology,100,60,3,22
2026-04-17,Orthopedics,100,56,2,14
2026-04-17,General,100,62,2,25
2026-04-17,Emergency,100,45,3,21
2026-04-18,Cardiology,100,87,2,18
2026-04-18,Neurology,100,47,0,23
2026-04-18,Orthopedics,100,84,4,16
2026-04-18,General,100,46,0,26
2026-04-18,Emergency,100,79,1,10
2026-04-19,Cardiology,100,49,2,27
2026-04-19,Neurology,100,79,1,15
2026-04-19,Orthopedics,100,77,0,12
2026-04-19,General,100,75,0,15
2026-04-19,Emergency,100,70,4,17
2026-04-20,Cardiology,100,49,1,13
2026-04-20,Neurology,100,66,0,22
2026-04-20,Orthopedics,100,93,0,10
2026-04-20,General,100,50,2,13
2026-04-20,Emergency,100,72,0,12
2026-04-21,Cardiology,100,60,0,17
2026-04-21,Neurology,100,77,1,15
2026-04-21,Orthopedics,100,76,2,22
2026-04-21,General,100,52,2,23
2026-04-21,Emergency,100,68,1,29
2026-04-22,Cardiology,100,71,0,26
2026-04-22,Neurology,100,62,3,11
2026-04-22,Orthopedics,100,41,1,22
2026-04-22,General,100,46,2,19
2026-04-22,Emergency,100,83,3,13
2026-04-23,Cardiology,100,59,2,16
2026-04-23,Neurology,100,77,4,16
2026-04-23,Orthopedics,100,53,1,23
2026-04-23,General,100,57,2,25
2026-04-23,Emergency,100,56,0,28
2026-04-24,Cardiology,100,86,1,13
2026-04-24,Neurology,100,83,0,14
2026-04-24,Orthopedics,100,85,3,11
2026-04-24,General,100,53,0,21
2026-04-24,Emergency,100,52,0,22
2026-04-25,Cardiology,100,70,1,19
2026-04-25,Neurology,100,56,3,18
2026-04-25,Orthopedics,100,60,0,24
2026-04-25,General,100,67,0,28
2026-04-25,Emergency,100,89,4,15
2026-04-26,Cardiology,100,88,1,17
2026-04-26,Neurology,100,77,1,23
2026-04-26,Orthopedics,100,61,4,10
2026-04-26,General,100,74,3,29
2026-04-26,Emergency,100,42,2,25
2026-04-27,Cardiology,100,51,4,24
2026-04-27,Neurology,100,86,4,25
2026-04-27,Orthopedics,100,44,1,29
2026-04-27,General,100,48,3,24
2026-04-27,Emergency,100,76,0,14
2026-04-28,Cardiology,100,59,2,23
2026-04-28,Neurology,100,63,0,24
2026-04-28,Orthopedics,100,59,3,28
2026-04-28,General,100,62,4,20
2026-04-28,Emergency,100,87,3,16
2026-04-29,Cardiology,100,61,3,23
2026-04-29,Neurology,100,63,2,12
2026-04-29,Orthopedics,100,70,2,26
2026-04-29,General,100,43,3,21
2026-04-29,Emergency,100,82,4,10
2026-04-30,Cardiology,100,51,3,11
2026-04-30,Neurology,100,48,2,27
2026-04-30,Orthopedics,100,55,4,14
2026-04-30,General,100,82,1,10
2026-04-30,Emergency,100,51,0,17
2026-05-01,Cardiology,100,50,3,29
2026-05-01,Neurology,100,90,3,23
2026-05-01,Orthopedics,100,87,4,24
2026-05-01,General,100,73,2,25
2026-05-01,Emergency,100,77,3,11
2026-05-02,Cardiology,100,71,3,25
2026-05-02,Neurology,100,42,1,10
2026-05-02,Orthopedics,100,62,2,23
2026-05-02,General,100,68,2,16
2026-05-02,Emergency,100,86,4,16
2026-05-03,Cardiology,100,82,4,11
2026-05-03,Neurology,100,77,1,24
2026-05-03,Orthopedics,100,50,4,27
2026-05-03,General,100,89,1,19
2026-05-03,Emergency,100,45,3,16
2026-05-04,Cardiology,100,88,3,15
2026-05-04,Neurology,100,46,2,13
2026-05-04,Orthopedics,100,91,2,29
2026-05-04,General,100,90,1,27
2026-05-04,Emergency,100,46,1,13
2026-05-05,Cardiology,100,73,3,27
2026-05-05,Neurology,100,88,4,13
2026-05-05,Orthopedics,100,92,4,26
2026-05-05,General,100,92,4,18
2026-05-05,Emergency,100,86,3,15
2026-05-06,Cardiology,100,89,2,25
2026-05-06,Neurology,100,45,0,19
2026-05-06,Orthopedics,100,74,2,21
2026-05-06,General,100,92,3,14
2026-05-06,Emergency,100,67,3,16
2026-05-07,Cardiology,100,62,1,27
2026-05-07,Neurology,100,84,3,24
2026-05-07,Orthopedics,100,46,0,24
2026-05-07,General,100,86,4,16
2026-05-07,Emergency,100,42,2,29
2026-05-08,Cardiology,100,81,2,21
2026-05-08,Neurology,100,89,0,14
2026-05-08,Orthopedics,100,76,1,28
2026-05-08,General,100,62,3,24
2026-05-08,Emergency,100,66,4,11
2026-05-09,Cardiology,100,47,4,24
2026-05-09,Neurology,100,59,0,16
2026-05-09,Orthopedics,100,41,1,21
2026-05-09,General,100,63,0,29
2026-05-09,Emergency,100,68,2,11
2026-05-10,Cardiology,100,73,2,21
2026-05-10,Neurology,100,94,4,17
2026-05-10,Orthopedics,100,41,4,24
2026-05-10,General,100,89,4,25
2026-05-10,Emergency,100,88,4,22
2026-05-11,Cardiology,100,72,0,22
2026-05-11,Neurology,100,84,0,13
2026-05-11,Orthopedics,100,50,4,10
2026-05-11,General,100,61,0,25
2026-05-11,Emergency,100,55,1,13
2026-05-12,Cardiology,100,79,0,13
2026-05-12,Neurology,100,59,4,15
2026-05-12,Orthopedics,100,61,1,23
2026-05-12,General,100,87,3,25
2026-05-12,Emergency,100,72,2,20
2026-05-13,Cardiology,100,67,3,29
2026-05-13,Neurology,100,83,0,20
2026-05-13,Orthopedics,100,93,4,16
2026-05-13,General,100,46,3,29
2026-05-13,Emergency,100,63,1,17
2026-05-14,Cardiology,100,73,0,29
2026-05-14,Neurology,100,83,3,23
2026-05-14,Orthopedics,100,43,3,20
2026-05-14,General,100,88,4,15
2026-05-14,Emergency,100,93,2,28
2026-05-15,Cardiology,100,42,3,17
2026-05-15,Neurology,100,93,2,10
2026-05-15,Orthopedics,100,61,0,22
2026-05-15,General,100,87,2,13
2026-05-15,Emergency,100,40,3,20
2026-05-16,Cardiology,100,60,1,27
2026-05-16,Neurology,100,60,3,15
2026-05-16,Orthopedics,100,78,4,29
2026-05-16,General,100,48,0,26
2026-05-16,Emergency,100,81,1,14
2026-05-17,Cardiology,100,87,2,13
2026-05-17,Neurology,100,45,2,25
2026-05-17,Orthopedics,100,40,3,18
2026-05-17,General,100,57,3,25
2026-05-17,Emergency,100,76,2,19
2026-05-18,Cardiology,100,44,0,11
2026-05-18,Neurology,100,47,3,12
2026-05-18,Orthopedics,100,62,2,11
2026-05-18,General,100,56,4,28
2026-05-18,Emergency,100,76,1,23
2026-05-19,Cardiology,100,77,4,17
2026-05-19,Neurology,100,59,2,27
2026-05-19,Orthopedics,100,45,4,17
2026-05-19,General,100,69,0,23
2026-05-19,Emergency,100,58,4,14
2026-05-20,Cardiology,100,70,3,14
2026-05-20,Neurology,100,68,3,22
2026-05-20,Orthopedics,100,64,4,16
2026-05-20,General,100,90,0,16
2026-05-20,Emergency,100,56,2,20
2026-05-21,Cardiology,100,65,4,24
2026-05-21,Neurology,100,82,2,14
2026-05-21,Orthopedics,100,72,2,15
2026-05-21,General,100,55,0,17
2026-05-21,Emergency,100,82,3,21
2026-05-22,Cardiology,100,48,3,16
2026-05-22,Neurology,100,84,1,28
2026-05-22,Orthopedics,100,82,3,14
2026-05-22,General,100,46,0,25
2026-05-22,Emergency,100,70,2,12
2026-05-23,Cardiology,100,80,1,28
2026-05-23,Neurology,100,59,0,23
2026-05-23,Orthopedics,100,81,4,29
2026-05-23,General,100,72,3,23
2026-05-23,Emergency,100,55,0,17
2026-05-24,Cardiology,100,70,3,27
2026-05-24,Neurology,100,50,0,17
2026-05-24,Orthopedics,100,71,1,17
2026-05-24,General,100,83,4,14
2026-05-24,Emergency,100,75,2,13
2026-05-25,Cardiology,100,49,4,27
2026-05-25,Neurology,100,94,2,10
2026-05-25,Orthopedics,100,83,3,20
2026-05-25,General,100,73,1,18
2026-05-25,Emergency,100,67,0,11
2026-05-26,Cardiology,100,87,3,27
2026-05-26,Neurology,100,52,1,14
2026-05-26,Orthopedics,100,59,4,13
2026-05-26,General,100,54,2,15
2026-05-26,Emergency,100,44,3,20
2026-05-27,Cardiology,100,54,2,25
2026-05-27,Neurology,100,73,1,14
2026-05-27,Orthopedics,100,44,3,22
2026-05-27,General,100,70,4,26
2026-05-27,Emergency,100,92,3,29
2026-05-28,Cardiology,100,57,1,27
2026-05-28,Neurology,100,80,2,18
2026-05-28,Orthopedics,100,45,3,23
2026-05-28,General,100,67,0,15
2026-05-28,Emergency,100,79,0,22
2026-05-29,Cardiology,100,66,2,13
2026-05-29,Neurology,100,45,4,24
2026-05-29,Orthopedics,100,91,4,17
2026-05-29,General,100,66,3,23
2026-05-29,Emergency,100,94,1,27
2026-05-30,Cardiology,100,88,1,23
2026-05-30,Neurology,100,88,4,23
2026-05-30,Orthopedics,100,72,3,25
2026-05-30,General,100,70,2,28
2026-05-30,Emergency,100,73,2,20
2026-05-31,Cardiology,100,40,1,18
2026-05-31,Neurology,100,75,4,23
2026-05-31,Orthopedics,100,45,2,22
2026-05-31,General,100,87,4,19
2026-05-31,Emergency,100,69,2,11
2026-06-01,Cardiology,100,88,2,14
2026-06-01,Neurology,100,82,3,21
2026-06-01,Orthopedics,100,40,0,19
2026-06-01,General,100,40,1,11
2026-06-01,Emergency,100,94,3,15
2026-06-02,Cardiology,100,60,0,16
2026-06-02,Neurology,100,42,0,14
2026-06-02,Orthopedics,100,94,3,20
2026-06-02,General,100,88,3,27
2026-06-02,Emergency,100,48,3,24
2026-06-03,Cardiology,100,75,1,10
2026-06-03,Neurology,100,68,2,24
2026-06-03,Orthopedics,100,69,1,24
2026-06-03,General,100,67,4,27
2026-06-03,Emergency,100,92,3,28
2026-06-04,Cardiology,100,64,1,10
2026-06-04,Neurology,100,48,3,17
2026-06-04,Orthopedics,100,78,4,23
2026-06-04,General,100,76,1,10
2026-06-04,Emergency,100,47,2,12
2026-06-05,Cardiology,100,87,1,14
2026-06-05,Neurology,100,76,1,16
2026-06-05,Orthopedics,100,63,3,18
2026-06-05,General,100,77,0,24
2026-06-05,Emergency,100,68,0,14
2026-06-06,Cardiology,100,78,4,21
2026-06-06,Neurology,100,86,3,13
2026-06-06,Orthopedics,100,73,1,15
2026-06-06,General,100,56,4,19
2026-06-06,Emergency,100,73,1,19
2026-06-07,Cardiology,100,68,4,28
2026-06-07,Neurology,100,52,1,29
2026-06-07,Orthopedics,100,50,4,12
2026-06-07,General,100,61,0,25
2026-06-07,Emergency,100,88,3,29
2026-06-08,Cardiology,100,80,3,13
2026-06-08,Neurology,100,62,0,26
2026-06-08,Orthopedics,100,64,0,25
2026-06-08,General,100,50,2,20
2026-06-08,Emergency,100,61,3,22
2026-06-09,Cardiology,100,63,0,12
2026-06-09,Neurology,100,46,2,11
2026-06-09,Orthopedics,100,52,2,20
2026-06-09,General,100,46,1,19
2026-06-09,Emergency,100,87,0,14
2026-06-10,Cardiology,100,57,0,10
2026-06-10,Neurology,100,64,0,15
2026-06-10,Orthopedics,100,59,1,19
2026-06-10,General,100,82,4,21
2026-06-10,Emergency,100,83,2,26
2026-06-11,Cardiology,100,90,4,27
2026-06-11,Neurology,100,85,4,25
2026-06-11,Orthopedics,100,57,2,14
2026-06-11,General,100,49,1,16
2026-06-11,Emergency,100,41,4,12
2026-06-12,Cardiology,100,94,3,10
2026-06-12,Neurology,100,50,4,19
2026-06-12,Orthopedics,100,67,2,17
2026-06-12,General,100,58,2,27
2026-06-12,Emergency,100,93,2,11
2026-06-13,Cardiology,100,63,0,24
2026-06-13,Neurology,100,49,2,27
2026-06-13,Orthopedics,100,91,0,29
2026-06-13,General,100,78,0,10
2026-06-13,Emergency,100,54,2,23
2026-06-14,Cardiology,100,93,1,24
2026-06-14,Neurology,100,50,1,13
2026-06-14,Orthopedics,100,61,4,29
2026-06-14,General,100,47,0,21
2026-06-14,Emergency,100,66,3,25
2026-06-15,Cardiology,100,58,2,20
2026-06-15,Neurology,100,73,3,17
2026-06-15,Orthopedics,100,87,0,21
2026-06-15,General,100,73,4,13
2026-06-15,Emergency,100,41,1,19
2026-06-16,Cardiology,100,74,4,19
2026-06-16,Neurology,100,71,0,14
2026-06-16,Orthopedics,100,59,2,21
2026-06-16,General,100,67,3,10
2026-06-16,Emergency,100,84,4,27
2026-06-17,Cardiology,100,41,1,22
2026-06-17,Neurology,100,71,4,23
2026-06-17,Orthopedics,100,52,2,17
2026-06-17,General,100,86,4,27
2026-06-17,Emergency,100,75,3,11
2026-06-18,Cardiology,100,57,3,15
2026-06-18,Neurology,100,57,2,17
2026-06-18,Orthopedics,100,80,2,15
2026-06-18,General,100,85,3,19
2026-06-18,Emergency,100,48,0,22
2026-06-19,Cardiology,100,92,2,21
2026-06-19,Neurology,100,67,1,10
2026-06-19,Orthopedics,100,44,2,28
2026-06-19,General,100,44,4,18
2026-06-19,Emergency,100,54,2,19
2026-06-20,Cardiology,100,74,0,20
2026-06-20,Neurology,100,51,3,22
2026-06-20,Orthopedics,100,58,4,21
2026-06-20,General,100,72,1,24
2026-06-20,Emergency,100,85,1,28
2026-06-21,Cardiology,100,45,4,14
2026-06-21,Neurology,100,51,0,12
2026-06-21,Orthopedics,100,42,2,22
2026-06-21,General,100,78,3,27
2026-06-21,Emergency,100,82,3,25
2026-06-22,Cardiology,100,74,3,26
2026-06-22,Neurology,100,71,3,15
2026-06-22,Orthopedics,100,93,2,29
2026-06-22,General,100,86,2,16
2026-06-22,Emergency,100,82,1,21
2026-06-23,Cardiology,100,44,0,29
2026-06-23,Neurology,100,64,3,24
2026-06-23,Orthopedics,100,93,1,27
2026-06-23,General,100,45,0,21
2026-06-23,Emergency,100,83,3,25
2026-06-24,Cardiology,100,57,4,26
2026-06-24,Neurology,100,81,3,10
2026-06-24,Orthopedics,100,46,2,11
2026-06-24,General,100,56,2,14
2026-06-24,Emergency,100,93,0,29
2026-06-25,Cardiology,100,90,0,28
2026-06-25,Neurology,100,52,0,25
2026-06-25,Orthopedics,100,91,4,24
2026-06-25,General,100,61,2,28
2026-06-25,Emergency,100,92,3,29
2026-06-26,Cardiology,100,48,4,16
2026-06-26,Neurology,100,66,0,19
2026-06-26,Orthopedics,100,74,3,19
2026-06-26,General,100,45,1,11
2026-06-26,Emergency,100,57,3,11
2026-06-27,Cardiology,100,46,4,21
2026-06-27,Neurology,100,62,3,23
2026-06-27,Orthopedics,100,81,3,10
2026-06-27,General,100,74,0,23
2026-06-27,Emergency,100,70,1,29
2026-06-28,Cardiology,100,53,4,18
2026-06-28,Neurology,100,61,0,22
2026-06-28,Orthopedics,100,51,3,20
2026-06-28,General,100,41,3,19
2026-06-28,Emergency,100,91,2,13
2026-06-29,Cardiology,100,63,2,15
2026-06-29,Neurology,100,93,4,28
2026-06-29,Orthopedics,100,55,4,12
2026-06-29,General,100,86,2,13
2026-06-29,Emergency,100,73,2,27
2026-06-30,Cardiology,100,40,0,28
2026-06-30,Neurology,100,76,2,22
2026-06-30,Orthopedics,100,91,4,18
2026-06-30,General,100,86,2,28
2026-06-30,Emergency,100,46,4,29
2026-07-01,Cardiology,100,91,4,22
2026-07-01,Neurology,100,60,1,17
2026-07-01,Orthopedics,100,64,4,26
2026-07-01,General,100,44,3,14
2026-07-01,Emergency,100,85,1,29
2026-07-02,Cardiology,100,81,1,14
2026-07-02,Neurology,100,65,2,24
2026-07-02,Orthopedics,100,49,3,11
2026-07-02,General,100,48,1,26
2026-07-02,Emergency,100,53,3,12
2026-07-03,Cardiology,100,59,3,26
2026-07-03,Neurology,100,76,4,26
2026-07-03,Orthopedics,100,69,3,20
2026-07-03,General,100,77,3,19
2026-07-03,Emergency,100,42,1,17
2026-07-04,Cardiology,100,66,2,28
2026-07-04,Neurology,100,49,0,27
2026-07-04,Orthopedics,100,94,3,25
2026-07-04,General,100,60,3,28
2026-07-04,Emergency,100,42,3,12
2026-07-05,Cardiology,100,53,0,20
2026-07-05,Neurology,100,65,1,18
2026-07-05,Orthopedics,100,75,1,27
2026-07-05,General,100,94,3,18
2026-07-05,Emergency,100,42,1,17
2026-07-06,Cardiology,100,92,3,27
2026-07-06,Neurology,100,72,2,20
2026-07-06,Orthopedics,100,90,2,25
2026-07-06,General,100,42,4,20
2026-07-06,Emergency,100,64,4,12
2026-07-07,Cardiology,100,69,2,14
2026-07-07,Neurology,100,73,0,12
2026-07-07,Orthopedics,100,79,3,24
2026-07-07,General,100,41,0,29
2026-07-07,Emergency,100,51,2,25
2026-07-08,Cardiology,100,56,0,21
2026-07-08,Neurology,100,43,2,20
2026-07-08,Orthopedics,100,92,2,25
2026-07-08,General,100,83,3,17
2026-07-08,Emergency,100,73,1,26
2026-07-09,Cardiology,100,72,1,25
2026-07-09,Neurology,100,69,0,21
2026-07-09,Orthopedics,100,82,3,24
2026-07-09,General,100,85,3,29
2026-07-09,Emergency,100,93,2,11
2026-07-10,Cardiology,100,81,2,13
2026-07-10,Neurology,100,91,1,22
2026-07-10,Orthopedics,100,76,3,15
2026-07-10,General,100,58,0,22
2026-07-10,Emergency,100,79,3,21
2026-07-11,Cardiology,100,91,1,20
2026-07-11,Neurology,100,45,4,27
2026-07-11,Orthopedics,100,59,0,21
2026-07-11,General,100,70,2,21
2026-07-11,Emergency,100,41,4,18
2026-07-12,Cardiology,100,94,4,15
2026-07-12,Neurology,100,59,0,28
2026-07-12,Orthopedics,100,57,3,23
2026-07-12,General,100,56,4,28
2026-07-12,Emergency,100,94,3,14
2026-07-13,Cardiology,100,88,1,14
