date,department,revenue,expenses,net_revenue
2025-09-05,Emergency,140114,101900,38214
2025-09-06,Cardiology,52698,38786,13912
2025-09-06,Neurology,48149,31976,16173
2025-09-06,Orthopedics,76479,46705,29774
2025-09-06,General,84267,59319,24948
2025-09-06,Emergency,144596,103871,40725
2025-09-07,Cardiology,57871,43096,14775
2025-09-07,Neurology,66250,50159,16091
2025-09-07,Orthopedics,58558,44368,14190
2025-09-07,General,67732,49524,18208
2025-09-07,Emergency,103003,77941,25062
2025-09-08,Cardiology,104708,66380,38328
2025-09-08,Neurology,145720,105073,40647
2025-09-08,Orthopedics,83750,57979,25771
2025-09-08,General,59986,38708,21278
2025-09-08,Emergency,139595,98775,40820
2025-09-09,Cardiology,82950,64911,18039
2025-09-09,Neurology,68273,47851,20422
2025-09-09,Orthopedics,67865,51552,16313
2025-09-09,General,140845,108658,32187
2025-09-09,Emergency,163159,114854,48305
2025-09-10,Cardiology,62342,44720,17622
2025-09-10,Neurology,64289,46249,18040
2025-09-10,Orthopedics,106942,75625,31317
2025-09-10,General,86617,52821,33796
2025-09-10,Emergency,94693,74667,20026
2025-09-11,Cardiology,97418,76167,21251
2025-09-11,Neurology,98662,69649,29013
2025-09-11,Orthopedics,105983,75812,30171
2025-09-11,General,118300,72427,45873
2025-09-11,Emergency,118603,94211,24392
2025-09-12,Cardiology,77640,58415,19225
2025-09-12,Neurology,90523,65791,24732
2025-09-12,Orthopedics,131067,96069,34998
2025-09-12,General,104147,69116,35031
2025-09-12,Emergency,138377,93443,44934
2025-09-13,Cardiology,50912,31838,19074
2025-09-13,Neurology,63227,42403,20824
2025-09-13,Orthopedics,73377,49925,23452
2025-09-13,General,62693,42258,20435
2025-09-13,Emergency,98250,76052,22198
2025-09-14,Cardiology,51620,36292,15328
2025-09-14,Neurology,74218,50638,23580
2025-09-14,Orthopedics,56096,42776,13320
2025-09-14,General,70538,45076,25462
2025-09-14,Emergency,135803,91171,44632
2025-09-15,Cardiology,52557,40889,11668
2025-09-15,Neurology,120189,80941,39248
2025-09-15,Orthopedics,130525,79122,51403
2025-09-15,General,124186,94662,29524
2025-09-15,Emergency,117665,80918,36747
2025-09-16,Cardiology,122749,85420,37329
2025-09-16,Neurology,103418,77619,25799
2025-09-16,Orthopedics,156163,117244,38919
2025-09-16,General,118851,84477,34374
2025-09-16,Emergency,110451,86907,23544
2025-09-17,Cardiology,107869,85432,22437
2025-09-17,Neurology,124463,75554,48909
2025-09-17,Orthopedics,76340,58024,18316
2025-09-17,General,92150,67528,24622
2025-09-17,Emergency,180813,120861,59952
2025-09-18,Cardiology,70072,46891,23181
2025-09-18,Neurology,137396,90503,46893
2025-09-18,Orthopedics,79201,62150,17051
2025-09-18,General,120736,78865,41871
2025-09-18,Emergency,76034,51121,24913
2025-09-19,Cardiology,120831,83828,37003
2025-09-19,Neurology,94352,73128,21224
2025-09-19,Orthopedics,101785,72636,29149
2025-09-19,General,106886,77490,29396
2025-09-19,Emergency,160239,101209,59030
2025-09-20,Cardiology,73714,53640,20074
2025-09-20,Neurology,41860,30011,11849
2025-09-20,Orthopedics,53120,37816,15304
2025-09-20,General,72835,44578,28257
2025-09-20,Emergency,138156,94606,43550
2025-09-21,Cardiology,59098,42748,16350
2025-09-21,Neurology,65500,48569,16931
2025-09-21,Orthopedics,45633,30593,15040
2025-09-21,General,46203,32025,14178
2025-09-21,Emergency,104336,80157,24179
2025-09-22,Cardiology,80934,56533,24401
2025-09-22,Neurology,132415,79875,52540
2025-09-22,Orthopedics,127083,82350,44733
2025-09-22,General,130609,81123,49486
2025-09-22,Emergency,100364,79241,21123
2025-09-23,Cardiology,56304,39308,16996
2025-09-23,Neurology,79156,56496,22660
2025-09-23,Orthopedics,66827,49729,17098
2025-09-23,General,77181,50463,26718
2025-09-23,Emergency,101928,67579,34349
2025-09-24,Cardiology,101334,62559,38775
2025-09-24,Neurology,102034,73636,28398
2025-09-24,Orthopedics,123323,97016,26307
2025-09-24,General,133647,100893,32754
2025-09-24,Emergency,176393,119183,57210
2025-09-25,Cardiology,122922,97816,25106
2025-09-25,Neurology,67780,52738,15042
2025-09-25,Orthopedics,122540,97307,25233
2025-09-25,General,117840,79175,38665
2025-09-25,Emergency,156764,119327,37437
2025-09-26,Cardiology,150885,90647,60238
2025-09-26,Neurology,50765,40201,10564
2025-09-26,Orthopedics,57867,36244,21623
2025-09-26,General,78770,47544,31226
2025-09-26,Emergency,192676,130316,62360
2025-09-27,Cardiology,27598,18189,9409
2025-09-27,Neurology,77181,51134,26047
2025-09-27,Orthopedics,53693,35692,18001
2025-09-27,General,70501,55965,14536
2025-09-27,Emergency,143497,108476,35021
2025-09-28,Cardiology,55129,38118,17011
2025-09-28,Neurology,57130,43024,14106
2025-09-28,Orthopedics,54806,33814,20992
2025-09-28,General,79314,55867,23447
2025-09-28,Emergency,126158,99762,26396
2025-09-29,Cardiology,148192,107964,40228
2025-09-29,Neurology,124369,91790,32579
2025-09-29,Orthopedics,59269,41042,18227
2025-09-29,General,42124,28230,13894
2025-09-29,Emergency,131069,82932,48137
2025-09-30,Cardiology,92439,64851,27588
2025-09-30,Neurology,149320,117171,32149
2025-09-30,Orthopedics,59212,41277,17935
2025-09-30,General,122373,73581,48792
2025-09-30,Emergency,85508,66713,18795
2025-10-01,Cardiology,125482,99591,25891
2025-10-01,Neurology,80177,59318,20859
2025-10-01,Orthopedics,79222,58595,20627
2025-10-01,General,83965,58078,25887
2025-10-01,Emergency,98969,70871,28098
2025-10-02,Cardiology,119945,72393,47552
2025-10-02,Neurology,139914,94294,45620
2025-10-02,Orthopedics,91989,61636,30353
2025-10-02,General,119853,73220,46633
2025-10-02,Emergency,113545,78678,34867
2025-10-03,Cardiology,80377,55001,25376
2025-10-03,Neurology,114339,76680,37659
2025-10-03,Orthopedics,142120,104210,37910
2025-10-03,General,125052,92323,32729
2025-10-03,Emergency,138184,108250,29934
2025-10-04,Cardiology,38197,25316,12881
2025-10-04,Neurology,56355,41369,14986
2025-10-04,Orthopedics,47177,37201,9976
2025-10-04,General,52639,35084,17555
2025-10-04,Emergency,132365,103188,29177
2025-10-05,Cardiology,51823,38106,13717
2025-10-05,Neurology,81877,54700,27177
2025-10-05,Orthopedics,73406,57415,15991
2025-10-05,General,37622,27592,10030
2025-10-05,Emergency,94441,69267,25174
2025-10-06,Cardiology,124931,99697,25234
2025-10-06,Neurology,143243,102862,40381
2025-10-06,Orthopedics,134271,91284,42987
2025-10-06,General,70516,50271,20245
2025-10-06,Emergency,182574,144641,37933
2025-10-07,Cardiology,62601,44906,17695
2025-10-07,Neurology,68623,46969,21654
2025-10-07,Orthopedics,138208,84933,53275
2025-10-07,General,99199,61154,38045
2025-10-07,Emergency,135724,99745,35979
2025-10-08,Cardiology,65266,49216,16050
2025-10-08,Neurology,49849,35227,14622
2025-10-08,Orthopedics,66899,50781,16118
2025-10-08,General,117624,86677,30947
2025-10-08,Emergency,128363,91466,36897
2025-10-09,Cardiology,110473,84471,26002
2025-10-09,Neurology,95685,68461,27224
2025-10-09,Orthopedics,61913,45602,16311
2025-10-09,General,113301,89576,23725
2025-10-09,Emergency,124221,75910,48311
2025-10-10,Cardiology,132499,86507,45992
2025-10-10,Neurology,87044,60999,26045
2025-10-10,Orthopedics,143745,104029,39716
2025-10-10,General,65033,39649,25384
2025-10-10,Emergency,181576,115812,65764
2025-10-11,Cardiology,37396,28532,8864
2025-10-11,Neurology,61842,45607,16235
2025-10-11,Orthopedics,89604,62499,27105
2025-10-11,General,91503,64318,27185
2025-10-11,Emergency,117710,77921,39789
2025-10-12,Cardiology,37282,26631,10651
2025-10-12,Neurology,47727,37762,9965
2025-10-12,Orthopedics,70090,42729,27361
2025-10-12,General,49100,38345,10755
2025-10-12,Emergency,123786,95921,27865
2025-10-13,Cardiology,77153,59221,17932
2025-10-13,Neurology,69109,43170,25939
2025-10-13,Orthopedics,134051,98210,35841
2025-10-13,General,119176,80695,38481
2025-10-13,Emergency,98320,62150,36170
2025-10-14,Cardiology,107325,84418,22907
2025-10-14,Neurology,121348,82222,39126
2025-10-14,Orthopedics,92695,57287,35408
2025-10-14,General,49968,38565,11403
2025-10-14,Emergency,77839,60495,17344
2025-10-15,Cardiology,114255,80631,33624
2025-10-15,Neurology,88188,62314,25874
2025-10-15,Orthopedics,125493,86661,38832
2025-10-15,General,146891,114021,32870
2025-10-15,Emergency,194502,141792,52710
2025-10-16,Cardiology,97862,62124,35738
2025-10-16,Neurology,116543,70953,45590
2025-10-16,Orthopedics,59284,42847,16437
2025-10-16,General,66121,48346,17775
2025-10-16,Emergency,122413,84779,37634
2025-10-17,Cardiology,84717,58733,25984
2025-10-17,Neurology,110171,66929,43242
2025-10-17,Orthopedics,50031,36497,13534
2025-10-17,General,63691,49515,14176
2025-10-17,Emergency,175431,124484,50947
2025-10-18,Cardiology,93598,71052,22546
2025-10-18,Neurology,56987,35988,20999
2025-10-18,Orthopedics,45811,36103,9708
2025-10-18,General,56006,39769,16237
2025-10-18,Emergency,154328,94146,60182
2025-10-19,Cardiology,97921,73525,24396
2025-10-19,Neurology,65884,39626,26258
2025-10-19,Orthopedics,93406,71084,22322
2025-10-19,General,51138,39008,12130
2025-10-19,Emergency,105331,68018,37313
2025-10-20,Cardiology,50075,32504,17571
2025-10-20,Neurology,133045,88314,44731
2025-10-20,Orthopedics,93830,67200,26630
2025-10-20,General,78696,62634,16062
2025-10-20,Emergency,86024,52066,33958
2025-10-21,Cardiology,135254,81706,53548
2025-10-21,Neurology,147833,118049,29784
2025-10-21,Orthopedics,150214,114268,35946
2025-10-21,General,103580,77090,26490
2025-10-21,Emergency,87850,54895,32955
2025-10-22,Cardiology,116341,82707,33634
2025-10-22,Neurology,68278,54547,13731
2025-10-22,Orthopedics,99973,68727,31246
2025-10-22,General,111699,79214,32485
2025-10-22,Emergency,119885,79537,40348
2025-10-23,Cardiology,151479,97361,54118
2025-10-23,Neurology,89826,55647,34179
2025-10-23,Orthopedics,61937,41833,20104
2025-10-23,General,85510,65608,19902
2025-10-23,Emergency,162295,100642,61653
2025-10-24,Cardiology,150390,112494,37896
2025-10-24,Neurology,63108,45944,17164
2025-10-24,Orthopedics,111713,83291,28422
2025-10-24,General,89223,71016,18207
2025-10-24,Emergency,110246,74449,35797
2025-10-25,Cardiology,74700,46343,28357
2025-10-25,Neurology,63671,47262,16409
2025-10-25,Orthopedics,64945,43790,21155
2025-10-25,General,80150,57913,22237
2025-10-25,Emergency,91489,69086,22403
2025-10-26,Cardiology,67291,46342,20949
2025-10-26,Neurology,62999,49752,13247
2025-10-26,Orthopedics,60737,43714,17023
2025-10-26,General,47342,29115,18227
2025-10-26,Emergency,152352,110737,41615
2025-10-27,Cardiology,82863,50127,32736
2025-10-27,Neurology,57927,35042,22885
2025-10-27,Orthopedics,67745,43148,24597
2025-10-27,General,81486,59257,22229
2025-10-27,Emergency,173067,105763,67304
2025-10-28,Cardiology,61212,39230,21982
2025-10-28,Neurology,117291,81999,35292
2025-10-28,Orthopedics,146418,104204,42214
2025-10-28,General,147841,111779,36062
2025-10-28,Emergency,143037,104296,38741
2025-10-29,Cardiology,68910,50160,18750
2025-10-29,Neurology,66560,40642,25918
2025-10-29,Orthopedics,149242,97911,51331
2025-10-29,General,53374,41943,11431
2025-10-29,Emergency,161669,102494,59175
2025-10-30,Cardiology,71924,46793,25131
2025-10-30,Neurology,69407,48823,20584
2025-10-30,Orthopedics,63898,44932,18966
2025-10-30,General,83300,58611,24689
2025-10-30,Emergency,119132,95169,23963
2025-10-31,Cardiology,60254,36688,23566
2025-10-31,Neurology,60384,47844,12540
2025-10-31,Orthopedics,118525,83586,34939
2025-10-31,General,75179,57886,17293
2025-10-31,Emergency,182777,115905,66872
2025-11-01,Cardiology,48741,38307,10434
2025-11-01,Neurology,31541,22835,8706
2025-11-01,Orthopedics,50838,35695,15143
2025-11-01,General,48612,33840,14772
2025-11-01,Emergency,163861,128107,35754
2025-11-02,Cardiology,68471,54697,13774
2025-11-02,Neurology,71470,52468,19002
2025-11-02,Orthopedics,56754,39504,17250
2025-11-02,General,42296,33612,8684
2025-11-02,Emergency,129364,93523,35841
2025-11-03,Cardiology,76116,50827,25289
2025-11-03,Neurology,118728,86256,32472
2025-11-03,Orthopedics,138993,91082,47911
2025-11-03,General,104461,68812,35649
2025-11-03,Emergency,186899,114654,72245
2025-11-04,Cardiology,74742,55330,19412
2025-11-04,Neurology,108227,73873,34354
2025-11-04,Orthopedics,139824,87354,52470
2025-11-04,General,57539,37931,19608
2025-11-04,Emergency,142127,97433,44694
2025-11-05,Cardiology,80553,51445,29108
2025-11-05,Neurology,150504,114138,36366
2025-11-05,Orthopedics,114915,88065,26850
2025-11-05,General,99624,59932,39692
2025-11-05,Emergency,152756,100567,52189
2025-11-06,Cardiology,117743,87742,30001
2025-11-06,Neurology,138382,98235,40147
2025-11-06,Orthopedics,97203,65036,32167
2025-11-06,General,113953,79429,34524
2025-11-06,Emergency,81260,61658,19602
2025-11-07,Cardiology,63385,44427,18958
2025-11-07,Neurology,59260,42317,16943
2025-11-07,Orthopedics,104576,63239,41337
2025-11-07,General,78602,62097,16505
2025-11-07,Emergency,131861,100959,30902
2025-11-08,Cardiology,50187,31671,18516
2025-11-08,Neurology,75491,47527,27964
2025-11-08,Orthopedics,35866,27360,8506
2025-11-08,General,81441,60952,20489
2025-11-08,Emergency,164614,111777,52837
2025-11-09,Cardiology,39112,30744,8368
2025-11-09,Neurology,73328,47252,26076
2025-11-09,Orthopedics,55779,41787,13992
2025-11-09,General,36280,27036,9244
2025-11-09,Emergency,108051,69755,38296
2025-11-10,Cardiology,125426,88989,36437
2025-11-10,Neurology,92819,68446,24373
2025-11-10,Orthopedics,128616,100985,27631
2025-11-10,General,142637,101967,40670
2025-11-10,Emergency,177413,121522,55891
2025-11-11,Cardiology,62186,42167,20019
2025-11-11,Neurology,146726,94637,52089
2025-11-11,Orthopedics,58266,43332,14934
2025-11-11,General,56574,39684,16890
2025-11-11,Emergency,131126,98543,32583
2025-11-12,Cardiology,103204,69536,33668
2025-11-12,Neurology,141804,92391,49413
2025-11-12,Orthopedics,72404,44641,27763
2025-11-12,General,65592,49107,16485
2025-11-12,Emergency,154287,118361,35926
2025-11-13,Cardiology,149596,109728,39868
2025-11-13,Neurology,132845,105931,26914
2025-11-13,Orthopedics,94500,72954,21546
2025-11-13,General,80987,64759,16228
2025-11-13,Emergency,156338,107485,48853
2025-11-14,Cardiology,134192,89582,44610
2025-11-14,Neurology,93604,58513,35091
2025-11-14,Orthopedics,128541,84782,43759
2025-11-14,General,111807,67346,44461
2025-11-14,Emergency,182931,124763,58168
2025-11-15,Cardiology,70413,45487,24926
2025-11-15,Neurology,51241,36090,15151
2025-11-15,Orthopedics,46803,34140,12663
2025-11-15,General,95689,59619,36070
2025-11-15,Emergency,158137,114681,43456
2025-11-16,Cardiology,86576,58944,27632
2025-11-16,Neurology,71113,44938,26175
2025-11-16,Orthopedics,91734,63625,28109
2025-11-16,General,53515,37185,16330
2025-11-16,Emergency,97803,58820,38983
2025-11-17,Cardiology,122558,74646,47912
2025-11-17,Neurology,105002,75007,29995
2025-11-17,Orthopedics,81208,52769,28439
2025-11-17,General,102146,67601,34545
2025-11-17,Emergency,94816,57895,36921
2025-11-18,Cardiology,67623,42786,24837
2025-11-18,Neurology,112771,85070,27701
2025-11-18,Orthopedics,134092,84677,49415
2025-11-18,General,53527,36810,16717
2025-11-18,Emergency,144302,105224,39078
2025-11-19,Cardiology,114603,85665,28938
2025-11-19,Neurology,131316,84948,46368
2025-11-19,Orthopedics,89422,58400,31022
2025-11-19,General,103536,66135,37401
2025-11-19,Emergency,118450,74384,44066
2025-11-20,Cardiology,116015,88017,27998
2025-11-20,Neurology,149461,107750,41711
2025-11-20,Orthopedics,74114,54205,19909
2025-11-20,General,95015,63776,31239
2025-11-20,Emergency,169564,112367,57197
2025-11-21,Cardiology,129394,96584,32810
2025-11-21,Neurology,91139,55148,35991
2025-11-21,Orthopedics,111573,71928,39645
2025-11-21,General,93434,71676,21758
2025-11-21,Emergency,114402,73474,40928
2025-11-22,Cardiology,96245,68278,27967
2025-11-22,Neurology,33817,22749,11068
2025-11-22,Orthopedics,55483,33744,21739
2025-11-22,General,40609,31920,8689
2025-11-22,Emergency,159552,103986,55566
2025-11-23,Cardiology,52843,31755,21088
2025-11-23,Neurology,74946,57742,17204
2025-11-23,Orthopedics,61653,37316,24337
2025-11-23,General,27848,17329,10519
2025-11-23,Emergency,107491,72448,35043
2025-11-24,Cardiology,143897,102737,41160
2025-11-24,Neurology,135858,92766,43092
2025-11-24,Orthopedics,90624,63288,27336
2025-11-24,General,95496,63040,32456
2025-11-24,Emergency,94166,66438,27728
2025-11-25,Cardiology,106856,68353,38503
2025-11-25,Neurology,94142,62473,31669
2025-11-25,Orthopedics,108962,71494,37468
2025-11-25,General,126808,99879,26929
2025-11-25,Emergency,93089,70266,22823
2025-11-26,Cardiology,82997,54426,28571
2025-11-26,Neurology,68718,42347,26371
2025-11-26,Orthopedics,96027,61235,34792
2025-11-26,General,107477,70079,37398
2025-11-26,Emergency,110358,69684,40674
2025-11-27,Cardiology,52136,33427,18709
2025-11-27,Neurology,114403,86536,27867
2025-11-27,Orthopedics,125336,99379,25957
2025-11-27,General,89656,54297,35359
2025-11-27,Emergency,180918,112053,68865
2025-11-28,Cardiology,69244,48651,20593
2025-11-28,Neurology,62672,45588,17084
2025-11-28,Orthopedics,81765,49512,32253
2025-11-28,General,113721,78523,35198
2025-11-28,Emergency,164001,110692,53309
2025-11-29,Cardiology,50746,36389,14357
2025-11-29,Neurology,54001,43192,10809
2025-11-29,Orthopedics,73685,48074,25611
2025-11-29,General,65976,49894,16082
2025-11-29,Emergency,180124,120001,60123
2025-11-30,Cardiology,39280,30400,8880
2025-11-30,Neurology,45122,32919,12203
2025-11-30,Orthopedics,60634,40727,19907
2025-11-30,General,47453,37942,9511
2025-11-30,Emergency,173438,122058,51380
2025-12-01,Cardiology,78794,49316,29478
2025-12-01,Neurology,105970,66391,39579
2025-12-01,Orthopedics,117701,73668,44033
2025-12-01,General,105372,73590,31782
2025-12-01,Emergency,130262,99590,30672
2025-12-02,Cardiology,120989,87492,33497
2025-12-02,Neurology,67310,41649,25661
2025-12-02,Orthopedics,143565,102032,41533
2025-12-02,General,127840,81649,46191
2025-12-02,Emergency,203339,157599,45740
2025-12-03,Cardiology,80080,60071,20009
2025-12-03,Neurology,75273,46544,28729
2025-12-03,Orthopedics,127756,83993,43763
2025-12-03,General,126938,94179,32759
2025-12-03,Emergency,140959,106704,34255
2025-12-04,Cardiology,57560,41429,16131
2025-12-04,Neurology,63422,39112,24310
2025-12-04,Orthopedics,133956,80783,53173
2025-12-04,General,84383,58278,26105
2025-12-04,Emergency,107861,83603,24258
2025-12-05,Cardiology,98906,75914,22992
2025-12-05,Neurology,117377,92417,24960
2025-12-05,Orthopedics,133945,85182,48763
2025-12-05,General,59158,38636,20522
2025-12-05,Emergency,135929,108114,27815
2025-12-06,Cardiology,65979,40879,25100
2025-12-06,Neurology,88083,60572,27511
2025-12-06,Orthopedics,84690,54249,30441
2025-12-06,General,49569,36695,12874
2025-12-06,Emergency,86193,62388,23805
2025-12-07,Cardiology,43874,29366,14508
2025-12-07,Neurology,52844,34502,18342
2025-12-07,Orthopedics,69789,44086,25703
2025-12-07,General,53017,40353,12664
2025-12-07,Emergency,145502,88100,57402
2025-12-08,Cardiology,51786,32200,19586
2025-12-08,Neurology,71761,54061,17700
2025-12-08,Orthopedics,67408,51893,15515
2025-12-08,General,108231,77017,31214
2025-12-08,Emergency,176607,118714,57893
2025-12-09,Cardiology,143467,94883,48584
2025-12-09,Neurology,62999,48431,14568
2025-12-09,Orthopedics,75233,52599,22634
2025-12-09,General,57921,36214,21707
2025-12-09,Emergency,171483,131004,40479
2025-12-10,Cardiology,95448,73805,21643
2025-12-10,Neurology,137156,99562,37594
2025-12-10,Orthopedics,53493,32819,20674
2025-12-10,General,117529,76264,41265
2025-12-10,Emergency,150967,98034,52933
2025-12-11,Cardiology,138480,101729,36751
2025-12-11,Neurology,135555,104401,31154
2025-12-11,Orthopedics,112640,79955,32685
2025-12-11,General,99169,77649,21520
2025-12-11,Emergency,109796,71573,38223
2025-12-12,Cardiology,113637,75601,38036
2025-12-12,Neurology,112747,83422,29325
2025-12-12,Orthopedics,148398,96023,52375
2025-12-12,General,59989,45795,14194
2025-12-12,Emergency,109415,78127,31288
2025-12-13,Cardiology,50408,38882,11526
2025-12-13,Neurology,71235,44490,26745
2025-12-13,Orthopedics,94623,74809,19814
2025-12-13,General,82932,60262,22670
2025-12-13,Emergency,175260,131224,44036
2025-12-14,Cardiology,69104,50982,18122
2025-12-14,Neurology,48580,29277,19303
2025-12-14,Orthopedics,35598,23469,12129
2025-12-14,General,47774,30384,17390
2025-12-14,Emergency,155903,112223,43680
2025-12-15,Cardiology,148520,99557,48963
2025-12-15,Neurology,74541,49396,25145
2025-12-15,Orthopedics,141243,103782,37461
2025-12-15,General,113443,80552,32891
2025-12-15,Emergency,96664,63640,33024
2025-12-16,Cardiology,60434,40981,19453
2025-12-16,Neurology,126890,77072,49818
2025-12-16,Orthopedics,146296,107413,38883
2025-12-16,General,127377,99191,28186
2025-12-16,Emergency,177793,137466,40327
2025-12-17,Cardiology,133486,99281,34205
2025-12-17,Neurology,132051,83577,48474
2025-12-17,Orthopedics,75810,50174,25636
2025-12-17,General,119587,78607,40980
2025-12-17,Emergency,163539,126022,37517
2025-12-18,Cardiology,106573,77830,28743
2025-12-18,Neurology,81948,50614,31334
2025-12-18,Orthopedics,147093,106252,40841
2025-12-18,General,106986,68229,38757
2025-12-18,Emergency,94049,62654,31395
2025-12-19,Cardiology,69986,47601,22385
2025-12-19,Neurology,148953,115143,33810
2025-12-19,Orthopedics,110845,75443,35402
2025-12-19,General,89880,54269,35611
2025-12-19,Emergency,162745,114607,48138
2025-12-20,Cardiology,53399,34626,18773
2025-12-20,Neurology,68917,48711,20206
2025-12-20,Orthopedics,39550,25636,13914
2025-12-20,General,92858,70216,22642
2025-12-20,Emergency,91456,70404,21052
2025-12-21,Cardiology,32087,23102,8985
2025-12-21,Neurology,82807,62432,20375
2025-12-21,Orthopedics,66301,47941,18360
2025-12-21,General,73457,54969,18488
2025-12-21,Emergency,175665,114161,61504
2025-12-22,Cardiology,105813,81729,24084
2025-12-22,Neurology,56030,35067,20963
2025-12-22,Orthopedics,98500,76468,22032
2025-12-22,General,93651,61421,32230
2025-12-22,Emergency,133919,94985,38934
2025-12-23,Cardiology,78089,62326,15763
2025-12-23,Neurology,98988,70229,28759
2025-12-23,Orthopedics,106538,76505,30033
2025-12-23,General,68853,46991,21862
2025-12-23,Emergency,132106,100155,31951
2025-12-24,Cardiology,115650,88142,27508
2025-12-24,Neurology,95823,71556,24267
2025-12-24,Orthopedics,96850,68022,28828
2025-12-24,General,74528,56732,17796
2025-12-24,Emergency,164216,114984,49232
2025-12-25,Cardiology,59167,45816,13351
2025-12-25,Neurology,90863,66271,24592
2025-12-25,Orthopedics,108549,67478,41071
2025-12-25,General,105504,70821,34683
2025-12-25,Emergency,140138,94467,45671
2025-12-26,Cardiology,84453,64479,19974
2025-12-26,Neurology,154453,98317,56136
2025-12-26,Orthopedics,124642,88376,36266
2025-12-26,General,96681,72905,23776
2025-12-26,Emergency,97024,62976,34048
2025-12-27,Cardiology,54327,36454,17873
2025-12-27,Neurology,71106,51561,19545
2025-12-27,Orthopedics,48409,36133,12276
2025-12-27,General,57730,44268,13462
2025-12-27,Emergency,156083,105729,50354
2025-12-28,Cardiology,74245,46877,27368
2025-12-28,Neurology,48849,38863,9986
2025-12-28,Orthopedics,37429,28508,8921
2025-12-28,General,28448,19372,9076
2025-12-28,Emergency,155239,105093,50146
2025-12-29,Cardiology,77045,50225,26820
2025-12-29,Neurology,96133,57816,38317
2025-12-29,Orthopedics,69257,43480,25777
2025-12-29,General,87683,65194,22489
2025-12-29,Emergency,159686,96885,62801
2025-12-30,Cardiology,67986,48453,19533
2025-12-30,Neurology,124683,76696,47987
2025-12-30,Orthopedics,144766,108019,36747
2025-12-30,General,96609,64225,32384
2025-12-30,Emergency,109189,80715,28474
2025-12-31,Cardiology,96329,58378,37951
2025-12-31,Neurology,143165,101382,41783
2025-12-31,Orthopedics,147902,107921,39981
2025-12-31,General,51954,40094,11860
2025-12-31,Emergency,132511,89304,43207
2026-01-01,Cardiology,97565,69941,27624
2026-01-01,Neurology,125873,99739,26134
2026-01-01,Orthopedics,127666,78672,48994
2026-01-01,General,58409,46091,12318
2026-01-01,Emergency,142821,90914,51907
2026-01-02,Cardiology,150651,90745,59906
2026-01-02,Neurology,54935,40635,14300
2026-01-02,Orthopedics,127623,81351,46272
2026-01-02,General,96045,67908,28137
