date,total_beds,occupied_beds,occupancy_rate
2026-06-01,500,315,0.63
2026-06-02,500,386,0.772
2026-06-03,500,295,0.59
2026-06-04,500,312,0.624
2026-06-05,500,339,0.678
2026-06-06,500,319,0.638
2026-06-07,500,369,0.738
2026-06-08,500,375,0.75
2026-06-09,500,410,0.82
2026-06-10,500,375,0.75
2026-06-11,500,366,0.732
2026-06-12,500,320,0.64
2026-06-13,500,307,0.614
2026-06-14,500,368,0.736
2026-06-15,500,371,0.742
2026-06-16,500,380,0.76
2026-06-17,500,391,0.782
2026-06-18,500,378,0.756
2026-06-19,500,413,0.826
2026-06-20,500,296,0.592
2026-06-21,500,355,0.71
2026-06-22,500,347,0.694
2026-06-23,500,375,0.75
2026-06-24,500,369,0.738
2026-06-25,500,378,0.756
2026-06-26,500,338,0.676
2026-06-27,500,347,0.694
2026-06-28,500,337,0.674
2026-06-29,500,319,0.638
2026-06-30,500,345,0.69
2026-07-01,500,372,0.744
2026-07-02,500,307,0.614
2026-07-03,500,343,0.686
2026-07-04,500,352,0.704
2026-07-05,500,379,0.758
2026-07-06,500,392,0.784
2026-07-07,500,397,0.794
2026-07-08,500,374,0.748
2026-07-09,500,321,0.642
2026-07-10,500,313,0.626
2026-07-11,500,373,0.746
2026-07-12,500,327,0.654
2026-07-13,500,336,0.672
2026-07-14,500,391,0.782
2026-07-15,500,366,0.732
2026-07-16,500,375,0.75
2026-07-17,500,356,0.712
2026-07-18,500,378,0.756
2026-07-19,500,343,0.686
2026-07-20,500,404,0.808
2026-07-21,500,387,0.774
2026-07-22,500,372,0.744
2026-07-23,500,294,0.588
2026-07-24,500,387,0.774
2026-07-25,500,311,0.622
2026-07-26,500,328,0.656
2026-07-27,500,323,0.646
2026-07-28,500,359,0.718
2026-07-29,500,376,0.752
2026-07-30,500,319,0.638
2026-07-31,500,353,0.706
2026-08-01,500,316,0.632
2026-08-02,500,365,0.73
2026-08-03,500,390,0.78
2026-08-04,500,324,0.648
2026-08-05,500,343,0.686
2026-08-06,500,299,0.598
2026-08-07,500,370,0.74
2026-08-08,500,354,0.708
2026-08-09,500,347,0.694
2026-08-10,500,331,0.662
2026-08-11,500,370,0.74
2026-08-12,500,382,0.764
2026-08-13,500,303,0.606
2026-08-14,500,328,0.656
2026-08-15,500,329,0.658
2026-08-16,500,378,0.756
2026-08-17,500,372,0.744
2026-08-18,500,348,0.696
2026-08-19,500,285,0.57
2026-08-20,500,295,0.59
2026-08-21,500,354,0.708
2026-08-22,500,303,0.606
2026-08-23,500,406,0.812
