date,medicine_name,quantity_used,department
2025-09-01,Antibiotics,78,Emergency
2025-09-01,Antibiotics,41,ICU
2025-09-01,IV Fluids,58,General
2025-09-01,IV Fluids,92,Emergency
2025-09-01,IV Fluids,61,ICU
2025-09-02,Paracetamol,92,General
2025-09-02,Paracetamol,51,Emergency
2025-09-02,Paracetamol,67,ICU
2025-09-02,Amoxicillin,62,General
2025-09-02,Amoxicillin,95,Emergency
2025-09-02,Amoxicillin,101,ICU
2025-09-02,Insulin,71,General
2025-09-02,Insulin,63,Emergency
2025-09-02,Insulin,69,ICU
2025-09-02,Antibiotics,97,General
2025-09-02,Antibiotics,81,Emergency
2025-09-02,Antibiotics,64,ICU
2025-09-02,IV Fluids,62,General
2025-09-02,IV Fluids,75,Emergency
2025-09-02,IV Fluids,101,ICU
2025-09-03,Paracetamol,68,General
2025-09-03,Paracetamol,105,Emergency
2025-09-03,Paracetamol,26,ICU
2025-09-03,Amoxicillin,108,General
2025-09-03,Amoxicillin,21,Emergency
2025-09-03,Amoxicillin,27,ICU
2025-09-03,Insulin,40,General
2025-09-03,Insulin,24,Emergency
2025-09-03,Insulin,57,ICU
2025-09-03,Antibiotics,67,General
2025-09-03,Antibiotics,76,Emergency
2025-09-03,Antibiotics,80,ICU
2025-09-03,IV Fluids,47,General
2025-09-03,IV Fluids,100,Emergency
2025-09-03,IV Fluids,27,ICU
2025-09-04,Paracetamol,59,General
2025-09-04,Paracetamol,76,Emergency
2025-09-04,Paracetamol,81,ICU
2025-09-04,Amoxicillin,74,General
2025-09-04,Amoxicillin,73,Emergency
2025-09-04,Amoxicillin,62,ICU
2025-09-04,Insulin,59,General
2025-09-04,Insulin,53,Emergency
2025-09-04,Insulin,55,ICU
2025-09-04,Antibiotics,39,General
2025-09-04,Antibiotics,60,Emergency
2025-09-04,Antibiotics,94,ICU
2025-09-04,IV Fluids,46,General
2025-09-04,IV Fluids,90,Emergency
2025-09-04,IV Fluids,53,ICU
2025-09-05,Paracetamol,55,General
2025-09-05,Paracetamol,101,Emergency
2025-09-05,Paracetamol,13,ICU
2025-09-05,Amoxicillin,35,General
2025-09-05,Amoxicillin,63,Emergency
2025-09-05,Amoxicillin,102,ICU
2025-09-05,Insulin,30,General
2025-09-05,Insulin,94,Emergency
2025-09-05,Insulin,71,ICU
2025-09-05,Antibiotics,38,General
2025-09-05,Antibiotics,95,Emergency
2025-09-05,Antibiotics,54,ICU
2025-09-05,IV Fluids,50,General
2025-09-05,IV Fluids,126,Emergency
2025-09-05,IV Fluids,61,ICU
2025-09-06,Paracetamol,103,General
2025-09-06,Paracetamol,23,Emergency
2025-09-06,Paracetamol,67,ICU
2025-09-06,Amoxicillin,27,General
2025-09-06,Amoxicillin,19,Emergency
2025-09-06,Amoxicillin,26,ICU
2025-09-06,Insulin,78,General
2025-09-06,Insulin,77,Emergency
2025-09-06,Insulin,62,ICU
2025-09-06,Antibiotics,33,General
2025-09-06,Antibiotics,35,Emergency
2025-09-06,Antibiotics,40,ICU
2025-09-06,IV Fluids,52,General
2025-09-06,IV Fluids,87,Emergency
2025-09-06,IV Fluids,23,ICU
2025-09-07,Paracetamol,39,General
2025-09-07,Paracetamol,53,Emergency
2025-09-07,Paracetamol,75,ICU
2025-09-07,Amoxicillin,73,General
2025-09-07,Amoxicillin,38,Emergency
2025-09-07,Amoxicillin,74,ICU
2025-09-07,Insulin,37,General
2025-09-07,Insulin,18,Emergency
2025-09-07,Insulin,93,ICU
2025-09-07,Antibiotics,43,General
2025-09-07,Antibiotics,64,Emergency
2025-09-07,Antibiotics,56,ICU
2025-09-07,IV Fluids,87,General
2025-09-07,IV Fluids,128,Emergency
2025-09-07,IV Fluids,65,ICU
2025-09-08,Paracetamol,62,General
2025-09-08,Paracetamol,94,Emergency
2025-09-08,Paracetamol,43,ICU
2025-09-08,Amoxicillin,36,General
2025-09-08,Amoxicillin,86,Emergency
2025-09-08,Amoxicillin,47,ICU
2025-09-08,Insulin,11,General
2025-09-08,Insulin,68,Emergency
2025-09-08,Insulin,95,ICU
2025-09-08,Antibiotics,65,General
2025-09-08,Antibiotics,61,Emergency
2025-09-08,Antibiotics,51,ICU
2025-09-08,IV Fluids,64,General
2025-09-08,IV Fluids,152,Emergency
2025-09-08,IV Fluids,87,ICU
2025-09-09,Paracetamol,85,General
2025-09-09,Paracetamol,47,Emergency
2025-09-09,Paracetamol,100,ICU
2025-09-09,Amoxicillin,82,General
2025-09-09,Amoxicillin,35,Emergency
2025-09-09,Amoxicillin,35,ICU
2025-09-09,Insulin,32,General
2025-09-09,Insulin,19,Emergency
2025-09-09,Insulin,55,ICU
2025-09-09,Antibiotics,110,General
2025-09-09,Antibiotics,77,Emergency
2025-09-09,Antibiotics,47,ICU
2025-09-09,IV Fluids,94,General
2025-09-09,IV Fluids,106,Emergency
2025-09-09,IV Fluids,82,ICU
2025-09-10,Paracetamol,94,General
2025-09-10,Paracetamol,75,Emergency
2025-09-10,Paracetamol,40,ICU
2025-09-10,Amoxicillin,20,General
2025-09-10,Amoxicillin,93,Emergency
2025-09-10,Amoxicillin,27,ICU
2025-09-10,Insulin,56,General
2025-09-10,Insulin,24,Emergency
2025-09-10,Insulin,80,ICU
2025-09-10,Antibiotics,79,General
2025-09-10,Antibiotics,65,Emergency
2025-09-10,Antibiotics,51,ICU
2025-09-10,IV Fluids,16,General
2025-09-10,IV Fluids,106,Emergency
2025-09-10,IV Fluids,21,ICU
2025-09-11,Paracetamol,60,General
2025-09-11,Paracetamol,76,Emergency
2025-09-11,Paracetamol,87,ICU
2025-09-11,Amoxicillin,62,General
2025-09-11,Amoxicillin,52,Emergency
2025-09-11,Amoxicillin,71,ICU
2025-09-11,Insulin,43,General
2025-09-11,Insulin,20,Emergency
2025-09-11,Insulin,35,ICU
2025-09-11,Antibiotics,87,General
2025-09-11,Antibiotics,47,Emergency
2025-09-11,Antibiotics,104,ICU
2025-09-11,IV Fluids,54,General
2025-09-11,IV Fluids,140,Emergency
2025-09-11,IV Fluids,107,ICU
2025-09-12,Paracetamol,91,General
2025-09-12,Paracetamol,56,Emergency
2025-09-12,Paracetamol,77,ICU
2025-09-12,Amoxicillin,16,General
2025-09-12,Amoxicillin,44,Emergency
2025-09-12,Amoxicillin,63,ICU
2025-09-12,Insulin,26,General
2025-09-12,Insulin,68,Emergency
2025-09-12,Insulin,49,ICU
2025-09-12,Antibiotics,29,General
2025-09-12,Antibiotics,89,Emergency
2025-09-12,Antibiotics,82,ICU
2025-09-12,IV Fluids,70,General
2025-09-12,IV Fluids,75,Emergency
2025-09-12,IV Fluids,30,ICU
2025-09-13,Paracetamol,94,General
2025-09-13,Paracetamol,38,Emergency
2025-09-13,Paracetamol,78,ICU
2025-09-13,Amoxicillin,79,General
2025-09-13,Amoxicillin,100,Emergency
2025-09-13,Amoxicillin,93,ICU
2025-09-13,Insulin,35,General
2025-09-13,Insulin,26,Emergency
2025-09-13,Insulin,72,ICU
2025-09-13,Antibiotics,34,General
2025-09-13,Antibiotics,97,Emergency
2025-09-13,Antibiotics,47,ICU
2025-09-13,IV Fluids,110,General
2025-09-13,IV Fluids,72,Emergency
2025-09-13,IV Fluids,86,ICU
2025-09-14,Paracetamol,104,General
2025-09-14,Paracetamol,38,Emergency
2025-09-14,Paracetamol,27,ICU
2025-09-14,Amoxicillin,12,General
2025-09-14,Amoxicillin,53,Emergency
2025-09-14,Amoxicillin,83,ICU
2025-09-14,Insulin,94,General
2025-09-14,Insulin,15,Emergency
2025-09-14,Insulin,95,ICU
2025-09-14,Antibiotics,42,General
2025-09-14,Antibiotics,39,Emergency
2025-09-14,Antibiotics,51,ICU
2025-09-14,IV Fluids,71,General
2025-09-14,IV Fluids,87,Emergency
2025-09-14,IV Fluids,81,ICU
2025-09-15,Paracetamol,71,General
2025-09-15,Paracetamol,49,Emergency
2025-09-15,Paracetamol,23,ICU
2025-09-15,Amoxicillin,60,General
2025-09-15,Amoxicillin,87,Emergency
2025-09-15,Amoxicillin,25,ICU
2025-09-15,Insulin,44,General
2025-09-15,Insulin,54,Emergency
2025-09-15,Insulin,67,ICU
2025-09-15,Antibiotics,69,General
2025-09-15,Antibiotics,109,Emergency
2025-09-15,Antibiotics,10,ICU
2025-09-15,IV Fluids,43,General
2025-09-15,IV Fluids,64,Emergency
2025-09-15,IV Fluids,49,ICU
2025-09-16,Paracetamol,32,General
2025-09-16,Paracetamol,23,Emergency
2025-09-16,Paracetamol,36,ICU
2025-09-16,Amoxicillin,48,General
2025-09-16,Amoxicillin,21,Emergency
2025-09-16,Amoxicillin,59,ICU
2025-09-16,Insulin,81,General
2025-09-16,Insulin,28,Emergency
2025-09-16,Insulin,86,ICU
2025-09-16,Antibiotics,56,General
2025-09-16,Antibiotics,41,Emergency
2025-09-16,Antibiotics,94,ICU
2025-09-16,IV Fluids,34,General
2025-09-16,IV Fluids,132,Emergency
2025-09-16,IV Fluids,32,ICU
2025-09-17,Paracetamol,70,General
2025-09-17,Paracetamol,99,Emergency
2025-09-17,Paracetamol,22,ICU
2025-09-17,Amoxicillin,85,General
2025-09-17,Amoxicillin,68,Emergency
2025-09-17,Amoxicillin,101,ICU
2025-09-17,Insulin,85,General
2025-09-17,Insulin,71,Emergency
2025-09-17,Insulin,102,ICU
2025-09-17,Antibiotics,30,General
2025-09-17,Antibiotics,54,Emergency
2025-09-17,Antibiotics,29,ICU
2025-09-17,IV Fluids,26,General
2025-09-17,IV Fluids,107,Emergency
2025-09-17,IV Fluids,20,ICU
2025-09-18,Paracetamol,67,General
2025-09-18,Paracetamol,105,Emergency
2025-09-18,Paracetamol,50,ICU
2025-09-18,Amoxicillin,21,General
2025-09-18,Amoxicillin,76,Emergency
2025-09-18,Amoxicillin,56,ICU
2025-09-18,Insulin,52,General
2025-09-18,Insulin,63,Emergency
2025-09-18,Insulin,83,ICU
2025-09-18,Antibiotics,53,General
2025-09-18,Antibiotics,67,Emergency
2025-09-18,Antibiotics,19,ICU
2025-09-18,IV Fluids,73,General
2025-09-18,IV Fluids,133,Emergency
2025-09-18,IV Fluids,73,ICU
2025-09-19,Paracetamol,63,General
2025-09-19,Paracetamol,85,Emergency
2025-09-19,Paracetamol,90,ICU
2025-09-19,Amoxicillin,22,General
2025-09-19,Amoxicillin,50,Emergency
2025-09-19,Amoxicillin,36,ICU
2025-09-19,Insulin,90,General
2025-09-19,Insulin,79,Emergency
2025-09-19,Insulin,111,ICU
2025-09-19,Antibiotics,36,General
2025-09-19,Antibiotics,64,Emergency
2025-09-19,Antibiotics,48,ICU
2025-09-19,IV Fluids,39,General
2025-09-19,IV Fluids,106,Emergency
2025-09-19,IV Fluids,78,ICU
2025-09-20,Paracetamol,64,General
2025-09-20,Paracetamol,57,Emergency
2025-09-20,Paracetamol,62,ICU
2025-09-20,Amoxicillin,89,General
2025-09-20,Amoxicillin,54,Emergency
2025-09-20,Amoxicillin,77,ICU
2025-09-20,Insulin,47,General
2025-09-20,Insulin,44,Emergency
2025-09-20,Insulin,14,ICU
2025-09-20,Antibiotics,25,General
2025-09-20,Antibiotics,99,Emergency
2025-09-20,Antibiotics,62,ICU
2025-09-20,IV Fluids,65,General
2025-09-20,IV Fluids,148,Emergency
2025-09-20,IV Fluids,85,ICU
2025-09-21,Paracetamol,64,General
2025-09-21,Paracetamol,25,Emergency
2025-09-21,Paracetamol,34,ICU
2025-09-21,Amoxicillin,84,General
2025-09-21,Amoxicillin,62,Emergency
2025-09-21,Amoxicillin,60,ICU
2025-09-21,Insulin,100,General
2025-09-21,Insulin,25,Emergency
2025-09-21,Insulin,76,ICU
2025-09-21,Antibiotics,39,General
2025-09-21,Antibiotics,17,Emergency
2025-09-21,Antibiotics,105,ICU
2025-09-21,IV Fluids,50,General
2025-09-21,IV Fluids,86,Emergency
2025-09-21,IV Fluids,83,ICU
2025-09-22,Paracetamol,12,General
2025-09-22,Paracetamol,7,Emergency
2025-09-22,Paracetamol,111,ICU
2025-09-22,Amoxicillin,28,General
2025-09-22,Amoxicillin,95,Emergency
2025-09-22,Amoxicillin,66,ICU
2025-09-22,Insulin,101,General
2025-09-22,Insulin,91,Emergency
2025-09-22,Insulin,46,ICU
2025-09-22,Antibiotics,103,General
2025-09-22,Antibiotics,54,Emergency
2025-09-22,Antibiotics,36,ICU
2025-09-22,IV Fluids,56,General
2025-09-22,IV Fluids,154,Emergency
2025-09-22,IV Fluids,20,ICU
2025-09-23,Paracetamol,100,General
2025-09-23,Paracetamol,85,Emergency
2025-09-23,Paracetamol,109,ICU
2025-09-23,Amoxicillin,77,General
2025-09-23,Amoxicillin,64,Emergency
2025-09-23,Amoxicillin,27,ICU
2025-09-23,Insulin,57,General
2025-09-23,Insulin,58,Emergency
2025-09-23,Insulin,72,ICU
2025-09-23,Antibiotics,48,General
2025-09-23,Antibiotics,89,Emergency
2025-09-23,Antibiotics,55,ICU
2025-09-23,IV Fluids,38,General
2025-09-23,IV Fluids,86,Emergency
2025-09-23,IV Fluids,12,ICU
2025-09-24,Paracetamol,33,General
2025-09-24,Paracetamol,14,Emergency
2025-09-24,Paracetamol,64,ICU
2025-09-24,Amoxicillin,19,General
2025-09-24,Amoxicillin,95,Emergency
2025-09-24,Amoxicillin,14,ICU
2025-09-24,Insulin,70,General
2025-09-24,Insulin,86,Emergency
2025-09-24,Insulin,103,ICU
2025-09-24,Antibiotics,63,General
2025-09-24,Antibiotics,87,Emergency
2025-09-24,Antibiotics,11,ICU
2025-09-24,IV Fluids,13,General
2025-09-24,IV Fluids,111,Emergency
2025-09-24,IV Fluids,40,ICU
2025-09-25,Paracetamol,107,General
2025-09-25,Paracetamol,15,Emergency
2025-09-25,Paracetamol,85,ICU
2025-09-25,Amoxicillin,96,General
2025-09-25,Amoxicillin,23,Emergency
2025-09-25,Amoxicillin,72,ICU
2025-09-25,Insulin,34,General
2025-09-25,Insulin,63,Emergency
2025-09-25,Insulin,38,ICU
2025-09-25,Antibiotics,50,General
2025-09-25,Antibiotics,105,Emergency
2025-09-25,Antibiotics,33,ICU
2025-09-25,IV Fluids,55,General
2025-09-25,IV Fluids,95,Emergency
2025-09-25,IV Fluids,94,ICU
2025-09-26,Paracetamol,80,General
2025-09-26,Paracetamol,33,Emergency
2025-09-26,Paracetamol,57,ICU
2025-09-26,Amoxicillin,16,General
2025-09-26,Amoxicillin,76,Emergency
2025-09-26,Amoxicillin,73,ICU
2025-09-26,Insulin,55,General
2025-09-26,Insulin,91,Emergency
2025-09-26,Insulin,28,ICU
2025-09-26,Antibiotics,32,General
2025-09-26,Antibiotics,56,Emergency
2025-09-26,Antibiotics,84,ICU
2025-09-26,IV Fluids,12,General
2025-09-26,IV Fluids,136,Emergency
2025-09-26,IV Fluids,88,ICU
2025-09-27,Paracetamol,65,General
2025-09-27,Paracetamol,63,Emergency
2025-09-27,Paracetamol,89,ICU
2025-09-27,Amoxicillin,97,General
2025-09-27,Amoxicillin,58,Emergency
2025-09-27,Amoxicillin,35,ICU
2025-09-27,Insulin,31,General
2025-09-27,Insulin,92,Emergency
2025-09-27,Insulin,24,ICU
2025-09-27,Antibiotics,33,General
2025-09-27,Antibiotics,82,Emergency
2025-09-27,Antibiotics,20,ICU
2025-09-27,IV Fluids,109,General
2025-09-27,IV Fluids,88,Emergency
2025-09-27,IV Fluids,33,ICU
2025-09-28,Paracetamol,18,General
2025-09-28,Paracetamol,19,Emergency
2025-09-28,Paracetamol,94,ICU
2025-09-28,Amoxicillin,33,General
2025-09-28,Amoxicillin,16,Emergency
2025-09-28,Amoxicillin,26,ICU
2025-09-28,Insulin,37,General
2025-09-28,Insulin,74,Emergency
2025-09-28,Insulin,14,ICU
2025-09-28,Antibiotics,90,General
2025-09-28,Antibiotics,20,Emergency
2025-09-28,Antibiotics,80,ICU
2025-09-28,IV Fluids,31,General
2025-09-28,IV Fluids,110,Emergency
2025-09-28,IV Fluids,61,ICU
2025-09-29,Paracetamol,46,General
2025-09-29,Paracetamol,31,Emergency
2025-09-29,Paracetamol,24,ICU
2025-09-29,Amoxicillin,36,General
2025-09-29,Amoxicillin,53,Emergency
2025-09-29,Amoxicillin,11,ICU
2025-09-29,Insulin,67,General
2025-09-29,Insulin,96,Emergency
2025-09-29,Insulin,45,ICU
2025-09-29,Antibiotics,57,General
2025-09-29,Antibiotics,98,Emergency
2025-09-29,Antibiotics,99,ICU
2025-09-29,IV Fluids,13,General
2025-09-29,IV Fluids,110,Emergency
2025-09-29,IV Fluids,51,ICU
2025-09-30,Paracetamol,37,General
2025-09-30,Paracetamol,24,Emergency
2025-09-30,Paracetamol,34,ICU
2025-09-30,Amoxicillin,52,General
2025-09-30,Amoxicillin,94,Emergency
2025-09-30,Amoxicillin,28,ICU
2025-09-30,Insulin,29,General
2025-09-30,Insulin,85,Emergency
2025-09-30,Insulin,19,ICU
2025-09-30,Antibiotics,45,General
2025-09-30,Antibiotics,18,Emergency
2025-09-30,Antibiotics,81,ICU
2025-09-30,IV Fluids,64,General
2025-09-30,IV Fluids,58,Emergency
2025-09-30,IV Fluids,68,ICU
2025-10-01,Paracetamol,48,General
2025-10-01,Paracetamol,85,Emergency
2025-10-01,Paracetamol,11,ICU
2025-10-01,Amoxicillin,46,General
2025-10-01,Amoxicillin,41,Emergency
2025-10-01,Amoxicillin,87,ICU
2025-10-01,Insulin,44,General
2025-10-01,Insulin,96,Emergency
2025-10-01,Insulin,98,ICU
2025-10-01,Antibiotics,74,General
2025-10-01,Antibiotics,28,Emergency
2025-10-01,Antibiotics,51,ICU
2025-10-01,IV Fluids,5,General
2025-10-01,IV Fluids,66,Emergency
2025-10-01,IV Fluids,23,ICU
2025-10-02,Paracetamol,20,General
2025-10-02,Paracetamol,34,Emergency
2025-10-02,Paracetamol,60,ICU
2025-10-02,Amoxicillin,29,General
2025-10-02,Amoxicillin,100,Emergency
2025-10-02,Amoxicillin,58,ICU
2025-10-02,Insulin,56,General
2025-10-02,Insulin,100,Emergency
2025-10-02,Insulin,41,ICU
2025-10-02,Antibiotics,33,General
2025-10-02,Antibiotics,60,Emergency
2025-10-02,Antibiotics,39,ICU
2025-10-02,IV Fluids,95,General
2025-10-02,IV Fluids,128,Emergency
2025-10-02,IV Fluids,12,ICU
2025-10-03,Paracetamol,26,General
2025-10-03,Paracetamol,28,Emergency
2025-10-03,Paracetamol,86,ICU
2025-10-03,Amoxicillin,45,General
2025-10-03,Amoxicillin,31,Emergency
2025-10-03,Amoxicillin,33,ICU
2025-10-03,Insulin,76,General
2025-10-03,Insulin,15,Emergency
2025-10-03,Insulin,52,ICU
2025-10-03,Antibiotics,48,General
2025-10-03,Antibiotics,82,Emergency
2025-10-03,Antibiotics,68,ICU
2025-10-03,IV Fluids,75,General
2025-10-03,IV Fluids,112,Emergency
2025-10-03,IV Fluids,13,ICU
2025-10-04,Paracetamol,47,General
2025-10-04,Paracetamol,99,Emergency
2025-10-04,Paracetamol,49,ICU
2025-10-04,Amoxicillin,7,General
2025-10-04,Amoxicillin,59,Emergency
2025-10-04,Amoxicillin,17,ICU
2025-10-04,Insulin,15,General
2025-10-04,Insulin,81,Emergency
2025-10-04,Insulin,28,ICU
2025-10-04,Antibiotics,29,General
2025-10-04,Antibiotics,20,Emergency
2025-10-04,Antibiotics,111,ICU
2025-10-04,IV Fluids,36,General
2025-10-04,IV Fluids,118,Emergency
2025-10-04,IV Fluids,16,ICU
2025-10-05,Paracetamol,54,General
2025-10-05,Paracetamol,42,Emergency
2025-10-05,Paracetamol,16,ICU
2025-10-05,Amoxicillin,26,General
2025-10-05,Amoxicillin,27,Emergency
2025-10-05,Amoxicillin,62,ICU
2025-10-05,Insulin,96,General
2025-10-05,Insulin,52,Emergency
2025-10-05,Insulin,62,ICU
2025-10-05,Antibiotics,62,General
2025-10-05,Antibiotics,86,Emergency
2025-10-05,Antibiotics,30,ICU
2025-10-05,IV Fluids,66,General
2025-10-05,IV Fluids,143,Emergency
2025-10-05,IV Fluids,69,ICU
2025-10-06,Paracetamol,91,General
2025-10-06,Paracetamol,42,Emergency
2025-10-06,Paracetamol,65,ICU
2025-10-06,Amoxicillin,37,General
2025-10-06,Amoxicillin,58,Emergency
2025-10-06,Amoxicillin,90,ICU
2025-10-06,Insulin,51,General
2025-10-06,Insulin,55,Emergency
2025-10-06,Insulin,37,ICU
2025-10-06,Antibiotics,79,General
2025-10-06,Antibiotics,70,Emergency
2025-10-06,Antibiotics,54,ICU
2025-10-06,IV Fluids,63,General
2025-10-06,IV Fluids,127,Emergency
2025-10-06,IV Fluids,77,ICU
2025-10-07,Paracetamol,87,General
2025-10-07,Paracetamol,26,Emergency
2025-10-07,Paracetamol,73,ICU
2025-10-07,Amoxicillin,72,General
2025-10-07,Amoxicillin,83,Emergency
2025-10-07,Amoxicillin,20,ICU
2025-10-07,Insulin,76,General
2025-10-07,Insulin,83,Emergency
2025-10-07,Insulin,92,ICU
2025-10-07,Antibiotics,60,General
2025-10-07,Antibiotics,78,Emergency
2025-10-07,Antibiotics,106,ICU
2025-10-07,IV Fluids,104,General
2025-10-07,IV Fluids,93,Emergency
2025-10-07,IV Fluids,16,ICU
2025-10-08,Paracetamol,35,General
2025-10-08,Paracetamol,52,Emergency
2025-10-08,Paracetamol,61,ICU
2025-10-08,Amoxicillin,24,General
2025-10-08,Amoxicillin,72,Emergency
2025-10-08,Amoxicillin,48,ICU
2025-10-08,Insulin,74,General
2025-10-08,Insulin,80,Emergency
2025-10-08,Insulin,30,ICU
2025-10-08,Antibiotics,80,General
2025-10-08,Antibiotics,33,Emergency
2025-10-08,Antibiotics,93,ICU
2025-10-08,IV Fluids,74,General
2025-10-08,IV Fluids,151,Emergency
2025-10-08,IV Fluids,60,ICU
2025-10-09,Paracetamol,36,General
2025-10-09,Paracetamol,17,Emergency
2025-10-09,Paracetamol,28,ICU
2025-10-09,Amoxicillin,101,General
2025-10-09,Amoxicillin,94,Emergency
2025-10-09,Amoxicillin,76,ICU
2025-10-09,Insulin,79,General
2025-10-09,Insulin,53,Emergency
2025-10-09,Insulin,25,ICU
2025-10-09,Antibiotics,66,General
2025-10-09,Antibiotics,28,Emergency
2025-10-09,Antibiotics,63,ICU
