date,medicine_name,opening_stock,consumed,received,closing_stock
2025-09-22,IV Fluids,1177,51,0,1126
2025-09-23,Paracetamol,983,113,0,870
2025-09-23,Amoxicillin,482,32,0,450
2025-09-23,Insulin,1327,51,0,1276
2025-09-23,Antibiotics,836,97,0,739
2025-09-23,IV Fluids,1126,142,0,984
2025-09-24,Paracetamol,870,43,0,827
2025-09-24,Amoxicillin,450,112,0,338
2025-09-24,Insulin,1276,143,0,1133
2025-09-24,Antibiotics,739,138,0,601
2025-09-24,IV Fluids,984,122,0,862
2025-09-25,Paracetamol,827,62,0,765
2025-09-25,Amoxicillin,338,121,1269,1486
2025-09-25,Insulin,1133,117,0,1016
2025-09-25,Antibiotics,601,112,0,489
2025-09-25,IV Fluids,862,20,0,842
2025-09-26,Paracetamol,765,34,0,731
2025-09-26,Amoxicillin,1486,20,0,1466
2025-09-26,Insulin,1016,25,0,991
2025-09-26,Antibiotics,489,88,0,401
2025-09-26,IV Fluids,842,40,0,802
2025-09-27,Paracetamol,731,28,0,703
2025-09-27,Amoxicillin,1466,35,0,1431
2025-09-27,Insulin,991,142,0,849
2025-09-27,Antibiotics,401,112,1689,1978
2025-09-27,IV Fluids,802,145,0,657
2025-09-28,Paracetamol,703,69,0,634
2025-09-28,Amoxicillin,1431,137,0,1294
2025-09-28,Insulin,849,94,0,755
2025-09-28,Antibiotics,1978,50,0,1928
2025-09-28,IV Fluids,657,90,0,567
2025-09-29,Paracetamol,634,140,0,494
2025-09-29,Amoxicillin,1294,142,0,1152
2025-09-29,Insulin,755,63,0,692
2025-09-29,Antibiotics,1928,139,0,1789
2025-09-29,IV Fluids,567,127,0,440
2025-09-30,Paracetamol,494,143,0,351
2025-09-30,Amoxicillin,1152,146,0,1006
2025-09-30,Insulin,692,36,0,656
2025-09-30,Antibiotics,1789,101,0,1688
2025-09-30,IV Fluids,440,56,0,384
2025-10-01,Paracetamol,351,49,0,302
2025-10-01,Amoxicillin,1006,52,0,954
2025-10-01,Insulin,656,114,0,542
2025-10-01,Antibiotics,1688,39,0,1649
2025-10-01,IV Fluids,384,38,0,346
2025-10-02,Paracetamol,302,109,1591,1784
2025-10-02,Amoxicillin,954,92,0,862
2025-10-02,Insulin,542,51,0,491
2025-10-02,Antibiotics,1649,45,0,1604
2025-10-02,IV Fluids,346,127,1049,1268
2025-10-03,Paracetamol,1784,42,0,1742
2025-10-03,Amoxicillin,862,95,0,767
2025-10-03,Insulin,491,38,0,453
2025-10-03,Antibiotics,1604,123,0,1481
2025-10-03,IV Fluids,1268,102,0,1166
2025-10-04,Paracetamol,1742,145,0,1597
2025-10-04,Amoxicillin,767,48,0,719
2025-10-04,Insulin,453,69,0,384
2025-10-04,Antibiotics,1481,145,0,1336
2025-10-04,IV Fluids,1166,63,0,1103
2025-10-05,Paracetamol,1597,113,0,1484
2025-10-05,Amoxicillin,719,50,0,669
2025-10-05,Insulin,384,58,0,326
2025-10-05,Antibiotics,1336,118,0,1218
2025-10-05,IV Fluids,1103,136,0,967
2025-10-06,Paracetamol,1484,50,0,1434
2025-10-06,Amoxicillin,669,119,0,550
2025-10-06,Insulin,326,140,1918,2104
2025-10-06,Antibiotics,1218,71,0,1147
2025-10-06,IV Fluids,967,48,0,919
2025-10-07,Paracetamol,1434,98,0,1336
2025-10-07,Amoxicillin,550,39,0,511
2025-10-07,Insulin,2104,131,0,1973
2025-10-07,Antibiotics,1147,55,0,1092
2025-10-07,IV Fluids,919,61,0,858
2025-10-08,Paracetamol,1336,99,0,1237
2025-10-08,Amoxicillin,511,105,0,406
2025-10-08,Insulin,1973,40,0,1933
2025-10-08,Antibiotics,1092,79,0,1013
2025-10-08,IV Fluids,858,103,0,755
2025-10-09,Paracetamol,1237,60,0,1177
2025-10-09,Amoxicillin,406,22,0,384
2025-10-09,Insulin,1933,72,0,1861
2025-10-09,Antibiotics,1013,72,0,941
2025-10-09,IV Fluids,755,92,0,663
2025-10-10,Paracetamol,1177,42,0,1135
2025-10-10,Amoxicillin,384,86,1026,1324
2025-10-10,Insulin,1861,76,0,1785
2025-10-10,Antibiotics,941,120,0,821
2025-10-10,IV Fluids,663,125,0,538
2025-10-11,Paracetamol,1135,48,0,1087
2025-10-11,Amoxicillin,1324,53,0,1271
2025-10-11,Insulin,1785,51,0,1734
2025-10-11,Antibiotics,821,25,0,796
2025-10-11,IV Fluids,538,32,0,506
2025-10-12,Paracetamol,1087,40,0,1047
2025-10-12,Amoxicillin,1271,130,0,1141
2025-10-12,Insulin,1734,70,0,1664
2025-10-12,Antibiotics,796,137,0,659
2025-10-12,IV Fluids,506,38,0,468
2025-10-13,Paracetamol,1047,30,0,1017
2025-10-13,Amoxicillin,1141,32,0,1109
2025-10-13,Insulin,1664,89,0,1575
2025-10-13,Antibiotics,659,33,0,626
2025-10-13,IV Fluids,468,108,0,360
2025-10-14,Paracetamol,1017,78,0,939
2025-10-14,Amoxicillin,1109,53,0,1056
2025-10-14,Insulin,1575,74,0,1501
2025-10-14,Antibiotics,626,36,0,590
2025-10-14,IV Fluids,360,31,0,329
2025-10-15,Paracetamol,939,137,0,802
2025-10-15,Amoxicillin,1056,26,0,1030
2025-10-15,Insulin,1501,29,0,1472
2025-10-15,Antibiotics,590,97,0,493
2025-10-15,IV Fluids,329,94,1343,1578
2025-10-16,Paracetamol,802,85,0,717
2025-10-16,Amoxicillin,1030,59,0,971
2025-10-16,Insulin,1472,23,0,1449
2025-10-16,Antibiotics,493,147,0,346
2025-10-16,IV Fluids,1578,97,0,1481
2025-10-17,Paracetamol,717,99,0,618
2025-10-17,Amoxicillin,971,115,0,856
2025-10-17,Insulin,1449,115,0,1334
2025-10-17,Antibiotics,346,51,1748,2043
2025-10-17,IV Fluids,1481,64,0,1417
2025-10-18,Paracetamol,618,115,0,503
2025-10-18,Amoxicillin,856,143,0,713
2025-10-18,Insulin,1334,78,0,1256
2025-10-18,Antibiotics,2043,102,0,1941
2025-10-18,IV Fluids,1417,148,0,1269
2025-10-19,Paracetamol,503,52,0,451
2025-10-19,Amoxicillin,713,58,0,655
2025-10-19,Insulin,1256,45,0,1211
2025-10-19,Antibiotics,1941,121,0,1820
2025-10-19,IV Fluids,1269,100,0,1169
2025-10-20,Paracetamol,451,25,0,426
2025-10-20,Amoxicillin,655,40,0,615
2025-10-20,Insulin,1211,47,0,1164
2025-10-20,Antibiotics,1820,134,0,1686
2025-10-20,IV Fluids,1169,100,0,1069
2025-10-21,Paracetamol,426,56,0,370
2025-10-21,Amoxicillin,615,88,0,527
2025-10-21,Insulin,1164,114,0,1050
2025-10-21,Antibiotics,1686,56,0,1630
2025-10-21,IV Fluids,1069,52,0,1017
2025-10-22,Paracetamol,370,37,0,333
2025-10-22,Amoxicillin,527,109,0,418
2025-10-22,Insulin,1050,56,0,994
2025-10-22,Antibiotics,1630,40,0,1590
2025-10-22,IV Fluids,1017,56,0,961
2025-10-23,Paracetamol,333,62,1429,1700
2025-10-23,Amoxicillin,418,71,0,347
2025-10-23,Insulin,994,115,0,879
2025-10-23,Antibiotics,1590,148,0,1442
2025-10-23,IV Fluids,961,39,0,922
2025-10-24,Paracetamol,1700,63,0,1637
2025-10-24,Amoxicillin,347,117,1328,1558
2025-10-24,Insulin,879,94,0,785
2025-10-24,Antibiotics,1442,108,0,1334
2025-10-24,IV Fluids,922,107,0,815
2025-10-25,Paracetamol,1637,37,0,1600
2025-10-25,Amoxicillin,1558,64,0,1494
2025-10-25,Insulin,785,69,0,716
2025-10-25,Antibiotics,1334,110,0,1224
2025-10-25,IV Fluids,815,55,0,760
2025-10-26,Paracetamol,1600,125,0,1475
2025-10-26,Amoxicillin,1494,94,0,1400
2025-10-26,Insulin,716,111,0,605
2025-10-26,Antibiotics,1224,67,0,1157
2025-10-26,IV Fluids,760,33,0,727
2025-10-27,Paracetamol,1475,103,0,1372
2025-10-27,Amoxicillin,1400,76,0,1324
2025-10-27,Insulin,605,111,0,494
2025-10-27,Antibiotics,1157,66,0,1091
2025-10-27,IV Fluids,727,46,0,681
2025-10-28,Paracetamol,1372,140,0,1232
2025-10-28,Amoxicillin,1324,58,0,1266
2025-10-28,Insulin,494,125,0,369
2025-10-28,Antibiotics,1091,21,0,1070
2025-10-28,IV Fluids,681,71,0,610
2025-10-29,Paracetamol,1232,60,0,1172
2025-10-29,Amoxicillin,1266,48,0,1218
2025-10-29,Insulin,369,125,1084,1328
2025-10-29,Antibiotics,1070,84,0,986
2025-10-29,IV Fluids,610,24,0,586
2025-10-30,Paracetamol,1172,73,0,1099
2025-10-30,Amoxicillin,1218,103,0,1115
2025-10-30,Insulin,1328,77,0,1251
2025-10-30,Antibiotics,986,80,0,906
2025-10-30,IV Fluids,586,145,0,441
2025-10-31,Paracetamol,1099,60,0,1039
2025-10-31,Amoxicillin,1115,69,0,1046
2025-10-31,Insulin,1251,118,0,1133
2025-10-31,Antibiotics,906,40,0,866
2025-10-31,IV Fluids,441,105,0,336
2025-11-01,Paracetamol,1039,44,0,995
2025-11-01,Amoxicillin,1046,124,0,922
2025-11-01,Insulin,1133,48,0,1085
2025-11-01,Antibiotics,866,142,0,724
2025-11-01,IV Fluids,336,36,0,300
2025-11-02,Paracetamol,995,90,0,905
2025-11-02,Amoxicillin,922,22,0,900
2025-11-02,Insulin,1085,43,0,1042
2025-11-02,Antibiotics,724,37,0,687
2025-11-02,IV Fluids,300,124,1260,1436
2025-11-03,Paracetamol,905,81,0,824
2025-11-03,Amoxicillin,900,57,0,843
2025-11-03,Insulin,1042,32,0,1010
2025-11-03,Antibiotics,687,67,0,620
2025-11-03,IV Fluids,1436,28,0,1408
2025-11-04,Paracetamol,824,46,0,778
2025-11-04,Amoxicillin,843,95,0,748
2025-11-04,Insulin,1010,89,0,921
2025-11-04,Antibiotics,620,92,0,528
2025-11-04,IV Fluids,1408,66,0,1342
2025-11-05,Paracetamol,778,139,0,639
2025-11-05,Amoxicillin,748,96,0,652
2025-11-05,Insulin,921,54,0,867
2025-11-05,Antibiotics,528,117,0,411
2025-11-05,IV Fluids,1342,113,0,1229
2025-11-06,Paracetamol,639,142,0,497
2025-11-06,Amoxicillin,652,129,0,523
2025-11-06,Insulin,867,44,0,823
2025-11-06,Antibiotics,411,88,0,323
2025-11-06,IV Fluids,1229,81,0,1148
2025-11-07,Paracetamol,497,120,0,377
2025-11-07,Amoxicillin,523,129,0,394
2025-11-07,Insulin,823,104,0,719
2025-11-07,Antibiotics,323,149,1533,1707
2025-11-07,IV Fluids,1148,37,0,1111
2025-11-08,Paracetamol,377,69,0,308
2025-11-08,Amoxicillin,394,28,0,366
2025-11-08,Insulin,719,110,0,609
2025-11-08,Antibiotics,1707,69,0,1638
2025-11-08,IV Fluids,1111,103,0,1008
2025-11-09,Paracetamol,308,102,1548,1754
2025-11-09,Amoxicillin,366,43,0,323
2025-11-09,Insulin,609,32,0,577
2025-11-09,Antibiotics,1638,100,0,1538
2025-11-09,IV Fluids,1008,79,0,929
2025-11-10,Paracetamol,1754,100,0,1654
2025-11-10,Amoxicillin,323,124,1192,1391
2025-11-10,Insulin,577,130,0,447
2025-11-10,Antibiotics,1538,55,0,1483
2025-11-10,IV Fluids,929,115,0,814
2025-11-11,Paracetamol,1654,99,0,1555
2025-11-11,Amoxicillin,1391,119,0,1272
2025-11-11,Insulin,447,25,0,422
2025-11-11,Antibiotics,1483,144,0,1339
2025-11-11,IV Fluids,814,64,0,750
2025-11-12,Paracetamol,1555,50,0,1505
2025-11-12,Amoxicillin,1272,36,0,1236
2025-11-12,Insulin,422,133,1930,2219
2025-11-12,Antibiotics,1339,37,0,1302
2025-11-12,IV Fluids,750,113,0,637
2025-11-13,Paracetamol,1505,121,0,1384
2025-11-13,Amoxicillin,1236,121,0,1115
2025-11-13,Insulin,2219,135,0,2084
2025-11-13,Antibiotics,1302,76,0,1226
2025-11-13,IV Fluids,637,131,0,506
2025-11-14,Paracetamol,1384,125,0,1259
2025-11-14,Amoxicillin,1115,65,0,1050
2025-11-14,Insulin,2084,143,0,1941
2025-11-14,Antibiotics,1226,37,0,1189
2025-11-14,IV Fluids,506,87,0,419
2025-11-15,Paracetamol,1259,80,0,1179
2025-11-15,Amoxicillin,1050,80,0,970
2025-11-15,Insulin,1941,45,0,1896
2025-11-15,Antibiotics,1189,41,0,1148
2025-11-15,IV Fluids,419,95,0,324
2025-11-16,Paracetamol,1179,39,0,1140
2025-11-16,Amoxicillin,970,99,0,871
2025-11-16,Insulin,1896,118,0,1778
2025-11-16,Antibiotics,1148,143,0,1005
2025-11-16,IV Fluids,324,143,1842,2023
2025-11-17,Paracetamol,1140,30,0,1110
2025-11-17,Amoxicillin,871,130,0,741
2025-11-17,Insulin,1778,99,0,1679
2025-11-17,Antibiotics,1005,79,0,926
2025-11-17,IV Fluids,2023,89,0,1934
2025-11-18,Paracetamol,1110,33,0,1077
2025-11-18,Amoxicillin,741,47,0,694
2025-11-18,Insulin,1679,135,0,1544
2025-11-18,Antibiotics,926,130,0,796
2025-11-18,IV Fluids,1934,23,0,1911
2025-11-19,Paracetamol,1077,24,0,1053
2025-11-19,Amoxicillin,694,145,0,549
2025-11-19,Insulin,1544,146,0,1398
2025-11-19,Antibiotics,796,109,0,687
2025-11-19,IV Fluids,1911,48,0,1863
2025-11-20,Paracetamol,1053,40,0,1013
2025-11-20,Amoxicillin,549,61,0,488
2025-11-20,Insulin,1398,51,0,1347
2025-11-20,Antibiotics,687,60,0,627
2025-11-20,IV Fluids,1863,51,0,1812
2025-11-21,Paracetamol,1013,101,0,912
2025-11-21,Amoxicillin,488,63,0,425
2025-11-21,Insulin,1347,40,0,1307
2025-11-21,Antibiotics,627,149,0,478
2025-11-21,IV Fluids,1812,88,0,1724
2025-11-22,Paracetamol,912,146,0,766
2025-11-22,Amoxicillin,425,146,1948,2227
2025-11-22,Insulin,1307,35,0,1272
2025-11-22,Antibiotics,478,30,0,448
2025-11-22,IV Fluids,1724,40,0,1684
2025-11-23,Paracetamol,766,134,0,632
2025-11-23,Amoxicillin,2227,54,0,2173
2025-11-23,Insulin,1272,130,0,1142
2025-11-23,Antibiotics,448,31,0,417
2025-11-23,IV Fluids,1684,52,0,1632
2025-11-24,Paracetamol,632,68,0,564
2025-11-24,Amoxicillin,2173,134,0,2039
2025-11-24,Insulin,1142,68,0,1074
2025-11-24,Antibiotics,417,117,0,300
2025-11-24,IV Fluids,1632,98,0,1534
2025-11-25,Paracetamol,564,44,0,520
2025-11-25,Amoxicillin,2039,137,0,1902
2025-11-25,Insulin,1074,21,0,1053
2025-11-25,Antibiotics,300,59,1848,2089
2025-11-25,IV Fluids,1534,61,0,1473
2025-11-26,Paracetamol,520,132,0,388
2025-11-26,Amoxicillin,1902,135,0,1767
2025-11-26,Insulin,1053,109,0,944
2025-11-26,Antibiotics,2089,78,0,2011
2025-11-26,IV Fluids,1473,87,0,1386
2025-11-27,Paracetamol,388,26,0,362
2025-11-27,Amoxicillin,1767,129,0,1638
2025-11-27,Insulin,944,81,0,863
2025-11-27,Antibiotics,2011,41,0,1970
2025-11-27,IV Fluids,1386,96,0,1290
2025-11-28,Paracetamol,362,99,1700,1963
2025-11-28,Amoxicillin,1638,34,0,1604
2025-11-28,Insulin,863,65,0,798
2025-11-28,Antibiotics,1970,79,0,1891
2025-11-28,IV Fluids,1290,140,0,1150
2025-11-29,Paracetamol,1963,83,0,1880
2025-11-29,Amoxicillin,1604,94,0,1510
2025-11-29,Insulin,798,31,0,767
2025-11-29,Antibiotics,1891,52,0,1839
2025-11-29,IV Fluids,1150,104,0,1046
2025-11-30,Paracetamol,1880,79,0,1801
2025-11-30,Amoxicillin,1510,84,0,1426
2025-11-30,Insulin,767,138,0,629
2025-11-30,Antibiotics,1839,53,0,1786
2025-11-30,IV Fluids,1046,130,0,916
2025-12-01,Paracetamol,1801,96,0,1705
2025-12-01,Amoxicillin,1426,140,0,1286
2025-12-01,Insulin,629,44,0,585
2025-12-01,Antibiotics,1786,92,0,1694
2025-12-01,IV Fluids,916,102,0,814
2025-12-02,Paracetamol,1705,35,0,1670
2025-12-02,Amoxicillin,1286,83,0,1203
2025-12-02,Insulin,585,109,0,476
2025-12-02,Antibiotics,1694,96,0,1598
2025-12-02,IV Fluids,814,48,0,766
2025-12-03,Paracetamol,1670,40,0,1630
2025-12-03,Amoxicillin,1203,58,0,1145
2025-12-03,Insulin,476,30,0,446
2025-12-03,Antibiotics,1598,32,0,1566
2025-12-03,IV Fluids,766,105,0,661
2025-12-04,Paracetamol,1630,56,0,1574
2025-12-04,Amoxicillin,1145,26,0,1119
2025-12-04,Insulin,446,92,0,354
2025-12-04,Antibiotics,1566,129,0,1437
2025-12-04,IV Fluids,661,36,0,625
2025-12-05,Paracetamol,1574,105,0,1469
2025-12-05,Amoxicillin,1119,123,0,996
2025-12-05,Insulin,354,38,0,316
2025-12-05,Antibiotics,1437,20,0,1417
2025-12-05,IV Fluids,625,59,0,566
2025-12-06,Paracetamol,1469,95,0,1374
2025-12-06,Amoxicillin,996,101,0,895
2025-12-06,Insulin,316,26,1639,1929
2025-12-06,Antibiotics,1417,123,0,1294
2025-12-06,IV Fluids,566,88,0,478
2025-12-07,Paracetamol,1374,145,0,1229
2025-12-07,Amoxicillin,895,61,0,834
2025-12-07,Insulin,1929,91,0,1838
2025-12-07,Antibiotics,1294,31,0,1263
2025-12-07,IV Fluids,478,96,0,382
2025-12-08,Paracetamol,1229,100,0,1129
2025-12-08,Amoxicillin,834,47,0,787
2025-12-08,Insulin,1838,112,0,1726
2025-12-08,Antibiotics,1263,138,0,1125
2025-12-08,IV Fluids,382,73,0,309
2025-12-09,Paracetamol,1129,62,0,1067
2025-12-09,Amoxicillin,787,137,0,650
2025-12-09,Insulin,1726,75,0,1651
2025-12-09,Antibiotics,1125,88,0,1037
2025-12-09,IV Fluids,309,96,1497,1710
2025-12-10,Paracetamol,1067,33,0,1034
2025-12-10,Amoxicillin,650,34,0,616
2025-12-10,Insulin,1651,136,0,1515
2025-12-10,Antibiotics,1037,121,0,916
2025-12-10,IV Fluids,1710,48,0,1662
2025-12-11,Paracetamol,1034,103,0,931
2025-12-11,Amoxicillin,616,73,0,543
2025-12-11,Insulin,1515,143,0,1372
2025-12-11,Antibiotics,916,61,0,855
2025-12-11,IV Fluids,1662,135,0,1527
2025-12-12,Paracetamol,931,86,0,845
2025-12-12,Amoxicillin,543,133,0,410
2025-12-12,Insulin,1372,135,0,1237
2025-12-12,Antibiotics,855,140,0,715
2025-12-12,IV Fluids,1527,62,0,1465
2025-12-13,Paracetamol,845,62,0,783
2025-12-13,Amoxicillin,410,94,0,316
2025-12-13,Insulin,1237,78,0,1159
2025-12-13,Antibiotics,715,85,0,630
2025-12-13,IV Fluids,1465,103,0,1362
2025-12-14,Paracetamol,783,47,0,736
2025-12-14,Amoxicillin,316,76,1315,1555
2025-12-14,Insulin,1159,40,0,1119
2025-12-14,Antibiotics,630,149,0,481
2025-12-14,IV Fluids,1362,108,0,1254
2025-12-15,Paracetamol,736,123,0,613
2025-12-15,Amoxicillin,1555,97,0,1458
2025-12-15,Insulin,1119,139,0,980
2025-12-15,Antibiotics,481,71,0,410
2025-12-15,IV Fluids,1254,122,0,1132
2025-12-16,Paracetamol,613,36,0,577
2025-12-16,Amoxicillin,1458,129,0,1329
2025-12-16,Insulin,980,125,0,855
2025-12-16,Antibiotics,410,131,1151,1430
2025-12-16,IV Fluids,1132,125,0,1007
2025-12-17,Paracetamol,577,33,0,544
2025-12-17,Amoxicillin,1329,83,0,1246
2025-12-17,Insulin,855,78,0,777
2025-12-17,Antibiotics,1430,129,0,1301
2025-12-17,IV Fluids,1007,103,0,904
2025-12-18,Paracetamol,544,143,0,401
2025-12-18,Amoxicillin,1246,125,0,1121
2025-12-18,Insulin,777,34,0,743
2025-12-18,Antibiotics,1301,146,0,1155
2025-12-18,IV Fluids,904,101,0,803
2025-12-19,Paracetamol,401,61,0,340
2025-12-19,Amoxicillin,1121,113,0,1008
2025-12-19,Insulin,743,132,0,611
2025-12-19,Antibiotics,1155,60,0,1095
2025-12-19,IV Fluids,803,138,0,665
2025-12-20,Paracetamol,340,22,0,318
2025-12-20,Amoxicillin,1008,55,0,953
2025-12-20,Insulin,611,141,0,470
2025-12-20,Antibiotics,1095,107,0,988
2025-12-20,IV Fluids,665,104,0,561
2025-12-21,Paracetamol,318,131,1616,1803
2025-12-21,Amoxicillin,953,26,0,927
2025-12-21,Insulin,470,118,0,352
2025-12-21,Antibiotics,988,148,0,840
2025-12-21,IV Fluids,561,64,0,497
2025-12-22,Paracetamol,1803,143,0,1660
2025-12-22,Amoxicillin,927,111,0,816
2025-12-22,Insulin,352,96,1222,1478
2025-12-22,Antibiotics,840,21,0,819
